"","sample_name","Symbiodinium_reads","Brevolium_reads","Cladocopium_reads","Durisdinium_read","F_reads","G_reads","Symbiodinium_proportion","Brevolium_proportion","Cladocopium_proportion","Durisdinium_proportion","Sequence_count"
"147","1028_2016b",0,0,0,22551,0,0,0,0,0,1,22551
"148","1036_2016b",1445,0,0,20944,0,0,0.064540622627183,0,0,0.935459377372817,22389
"149","181_2019",0,0,213,21780,0,0,0,0,0.00968489974082663,0.990315100259173,21993
"150","850_2016b",0,0,0,21983,0,0,0,0,0,1,21983
"151","212_2019",0,0,0,21836,0,0,0,0,0,1,21836
"152","231_2019",0,0,222,21575,0,0,0,0,0.0101848878286003,0.9898151121714,21797
"153","238_2019",0,0,185,21610,0,0,0,0,0.00848818536361551,0.991511814636384,21795
"154","10_2019",0,0,0,21773,0,0,0,0,0,1,21773
"155","328_2014",0,0,21662,0,0,0,0,0,1,0,21662
"156","147_2018",0,0,0,21567,0,0,0,0,0,1,21567
"157","592_2016b",0,0,1066,20484,0,0,0,0,0.0494663573085847,0.950533642691415,21550
"158","129_2019",929,0,0,20595,0,0,0.0431611224679428,0,0,0.956838877532057,21524
"159","161_2015c",0,0,21488,0,0,0,0,0,1,0,21488
"160","1055_2016b",2263,0,0,19147,0,0,0.105698271835591,0,0,0.894301728164409,21410
"161","219_2019",0,0,0,21237,0,0,0,0,0,1,21237
"162","820_2015b",0,0,21014,0,0,0,0,0,1,0,21014
"163","160_2019",0,0,0,20959,0,0,0,0,0,1,20959
"164","248_2018",358,0,0,20581,0,0,0.0170972825827403,0,0,0.98290271741726,20939
"165","66_2018",0,0,220,20697,0,0,0,0,0.0105177606731367,0.989482239326863,20917
"166","1020_2016b",0,0,0,20816,0,0,0,0,0,1,20816
"167","228_2019",1729,0,0,18968,0,0,0.0835386771029618,0,0,0.916461322897038,20697
"168","792_2015b",0,0,20677,0,0,0,0,0,1,0,20677
"169","156_2018",2312,0,0,18284,0,0,0.112254806758594,0,0,0.887745193241406,20596
"170","299_2014",0,0,20456,0,0,0,0,0,1,0,20456
"171","224_2019",2449,0,0,17975,0,0,0.119907951429691,0,0,0.880092048570309,20424
"172","726_2015b",0,0,256,20162,0,0,0,0,0.0125379567048683,0.987462043295132,20418
"173","754_2015b",457,0,254,19676,0,0,0.0224162456467357,0,0.0124589198999362,0.965124834453328,20387
"174","28_2018",0,0,0,20385,0,0,0,0,0,1,20385
"175","151_2018",965,0,0,19168,0,0,0.0479312571400189,0,0,0.952068742859981,20133
"176","770_2016b",0,0,0,20110,0,0,0,0,0,1,20110
"177","813_2015b",0,0,20008,0,0,0,0,0,1,0,20008
"178","1_2018",1822,0,0,18161,0,0,0.0911775008757444,0,0,0.908822499124256,19983
"179","1065_2016b",0,0,0,19947,0,0,0,0,0,1,19947
"180","389_2015b",0,0,19933,0,0,0,0,0,1,0,19933
"181","623_2015c",0,0,19903,0,0,0,0,0,1,0,19903
"182","850_2015c",0,0,7435,12250,0,0,0,0,0.377698755397511,0.622301244602489,19685
"183","20_2018",0,0,0,19677,0,0,0,0,0,1,19677
"184","492_2015c",0,0,204,19450,0,0,0,0,0.0103795665004579,0.989620433499542,19654
"185","911_2016b",0,0,329,19312,0,0,0,0,0.0167506746092358,0.983249325390764,19641
"186","241_2018",0,0,0,19592,0,0,0,0,0,1,19592
"187","371_2014",0,0,19552,0,0,0,0,0,1,0,19552
"188","144_2019",8925,0,0,10405,0,0,0.461717537506467,0,0,0.538282462493533,19330
"189","623_2015a",0,0,19155,0,0,0,0,0,1,0,19155
"190","352_2014",0,0,19076,0,0,0,0,0,1,0,19076
"191","2_2018",953,0,0,18122,0,0,0.0499606815203145,0,0,0.950039318479685,19075
"192","29_2015b",0,0,19040,0,0,0,0,0,1,0,19040
"193","1017_2016b",0,0,0,19028,0,0,0,0,0,1,19028
"194","786_2016b",0,0,0,19024,0,0,0,0,0,1,19024
"195","242_2014",0,0,0,18950,0,0,0,0,0,1,18950
"196","190_873_2015c",0,0,18941,0,0,0,0,0,1,0,18941
"197","223_2018",0,0,0,18897,0,0,0,0,0,1,18897
"198","138_2018",0,0,0,18868,0,0,0,0,0,1,18868
"199","168_2018",0,0,0,18844,0,0,0,0,0,1,18844
"200","1240_2017",0,0,276,18558,0,0,0,0,0.0146543485186365,0.985345651481363,18834
"201","781_2015b",0,0,18770,0,0,0,0,0,1,0,18770
"202","213_2015c",0,0,18665,0,0,0,0,0,1,0,18665
"203","1031_2016b",0,0,0,18535,0,0,0,0,0,1,18535
"204","3_2018",0,0,0,18407,0,0,0,0,0,1,18407
"205","62_2015a",0,0,18310,0,0,0,0,0,1,0,18310
"206","47_2018",0,0,0,18293,0,0,0,0,0,1,18293
"207","754_899_1060_2016b",0,0,0,18167,0,0,0,0,0,1,18167
"208","1050_2016b",0,0,3261,14868,0,0,0,0,0.179877544266093,0.820122455733907,18129
"209","13_2018",0,0,0,18120,0,0,0,0,0,1,18120
"210","1061_2016b",0,0,0,18109,0,0,0,0,0,1,18109
"211","113_2018",0,0,0,18067,0,0,0,0,0,1,18067
"212","83_2018",0,0,0,18052,0,0,0,0,0,1,18052
"213","412_892_2015c",0,0,18045,0,0,0,0,0,1,0,18045
"214","810_2015c",0,0,18018,0,0,0,0,0,1,0,18018
"215","834_947_2016b",4845,0,0,13164,0,0,0.269032150591371,0,0,0.730967849408629,18009
