field_season,coral_tag,frozen_sample,sds_SampleID
KI2016a,857,some,KI16aFQ113
KI2016a,900,some,KI16aFQ018
KI2016a,902,some,
KI2016a,906,some,KI16aFQ024
KI2016a,909,some,KI16aFQ027
KI2016a,911,some,
KI2016a,914,some,KI16aFQ033
KI2016a,919,some,KI16aFQ038
KI2016a,925,some,KI16aFQ054
KI2016a,928,some,KI16aFQ057
KI2016a,929,some,
KI2016a,933,some,KI16aFQ062
KI2016a,936,some,KI16aFQ069
KI2016a,937,some,
KI2016a,939,some,KI16aFQ072
KI2016a,941,some,KI16aFQ074
KI2016a,1005,some,KI16aFQ217
KI2016a,1008,some,KI16aFQ220
KI2016a,1009,some,
KI2016a,1011,some,KI16aFQ223
KI2016a,1013,some,KI16aFQ225
KI2016a,1017,some,KI16aFQ229
KI2016a,1020,some,KI16aFQ212
KI2016a,1022,some,KI16aFQ214
KI2016a,1023,some,KI16aFQ215
KI2016a,1024,some,KI16aFQ231
KI2016a,1028,some,KI16aFQ235
KI2016a,1030,some,KI16aFQ237
KI2016a,1031,some,KI16aFQ238
KI2016a,1032,some,
KI2016a,1033,some,
KI2016a,1034,some,
KI2016a,1035,some,KI16aFQ260
KI2016a,1036,some,KI16aFQ261
KI2016a,1037,some,
KI2016a,1040,some,KI16aFQ264
KI2016a,1049,some,KI16aFQ265
KI2016a,1050,some,
KI2016a,1055,some,KI16aFQ272
KI2016a,1056,some,
KI2015c,410_893,650,KI15cFQ428
KI2015c,412_892,no,
KI2014,497_745,no,
KI2015b,497_745,500,
KI2016a,497_745,some,
KI2016a,754_899,some,KI16aFQ017
