Tag,2014_FSYM,2014_FQ,2014_FMD,2014_FF,2015a_FSYM,2015a_FQ,2015a_FMD,2015a_FF,2015a_FSYM,2015a_FQ,2015a_FMD,2015a_FF,2015b_FSYM,2015b_FQ,2015b_FMD,2015b_FF,2015c_FSYM,2015c_FQ,2015c_FMD,2015c_FF,2016a_FSYM,2016a_FQ,2016a_FMD,2016a_FF,2016a_FL,2016b_FSYM,2016b_FQ,2016b_FMD,2016b_FF,2016b_FL,2017a_FSYM,2017a_FQ,2017a_FMD,2017a_FF,2017a_FL
754_899_1060,,,,,,,,,,,,,KI15bFSYM231,KI15bFQ231,KI15bFMD231,KI15bFF231,KI15cFSYM468,KI15cFQ468,KI15cFMD468,KI15cFF468,KI16aFSYM017,KI16aFQ017,KI16aFMD017,KI16aFF017,KI16aFL015,KI16bFSYM025,KI16bFQ025,KI16bFMD025,KI16bFF025,,,,,,
762,,,,,,,,,,,,,KI15bFSYM239,KI15bFQ239,KI15bFMD239,KI15bFF239,KI15cFSYM474,KI15cFQ474,KI15cFMD474,KI15cFF474,,,,,,,,,,,,,,,
766,,,,,,,,,,,,,KI15bFSYM243,KI15bFQ243,KI15bFMD243,KI15bFF243,KI15cFSYM472,KI15cFQ472,KI15cFMD472,KI15cFF472,,,,,,,,,,,,,,,
768,,,,,,,,,,,,,KI15bFSYM245,KI15bFQ245,KI15bFMD245,KI15bFF245,KI15cFSYM460,KI15cFQ460,KI15cFMD460,KI15cFF460,,,,,,,,,,,,,,,
783,,,,,,,,,,,,,KI15bFSYM279,KI15bFQ279,KI15bFMD279,KI15bFF279,KI15cFSYM501,KI15cFQ501,KI15cFMD501,KI15cFF501,KI16aFSYM118,KI16aFQ118,KI16aFMD118,KI16aFF118,KI16aFL099,KI16bFSYM176,KI16bFQ176,KI16bFMD176,,,KI17aFSYM222,KI17aFQ222,KI17aFMD222,KI17aFF222,KI17aFL222
788,,,,,,,,,,,,,KI15bFSYM284,KI15bFQ284,KI15bFMD284,KI15bFF284,KI15cFSYM253,KI15cFQ253,KI15cFMD253,KI15cFF253,KI16aFSYM088,KI16aFQ088,KI16aFMD088,KI16aFF088,KI16aFL073,KI16bFSYM031,KI16bFQ031,KI16bFMD031,KI16bFF031,KI16bFL021,KI017aFSYM017,KI017aFQ017,KI017aFMD017,KI017aFF017,KI017aFL017
792,,,,,,,,,,,,,KI15bFSYM288,KI15bFQ288,KI15bFMD288,KI15bFF288,KI15cFSYM254,KI15cFQ254,KI15cFMD254,KI15cFF254,KI16aFSYM089,KI16aFQ089,KI16aFMD089,KI16aFF089,KI16aFL074,KI16bFSYM032,KI16bFQ032,KI16bFMD032,KI16bFF032,,KI017aFSYM019,KI017aFQ019,KI017aFMD019,KI017aFF019,KI017aFL019
797,,,,,,,,,,,,,KI15bFSYM293,KI15bFQ293,KI15bFMD293,KI15bFF293,KI15cFSYM261,KI15cFQ261,KI15cFMD261,KI15cFF261,KI16aFSYM091,KI16aFQ091,KI16aFMD091,KI16aFF091,KI16aFL076,KI16bFSYM034,KI16bFQ034,KI16bFMD034,KI16bFF034,KI16bFL023,KI017aFSYM020,KI017aFQ020,KI017aFMD020,KI017aFF020,KI017aFL020
807,,,,,,,,,,,,,KI15bFSYM303,,KI15bFMD303,,KI15cFSYM273,KI15cFQ273,KI15cFMD273,KI15cFF273,KI16aFSYM104,KI16aFQ104,KI16aFMD104,KI16aFF104,KI16aFL088,KI16bFSYM039,KI16bFQ039,KI16bFMD039,KI16bFF039,KI16bFL028,KI017aFSYM022,KI017aFQ022,KI017aFMD022,KI017aFF022,KI017aFL022
813,,,,,,,,,,,,,KI15bFSYM309,,KI15bFMD309,,KI15cFSYM277,KI15cFQ277,KI15cFMD277,KI15cFF277,KI16aFSYM095,KI16aFQ095,KI16aFMD095,KI16aFF095,KI16aFL080,,,,,,KI017aFSYM026,KI017aFQ026,KI017aFMD026,KI017aFF026,KI017aFL026
820,,,,,,,,,,,,,KI15bFSYM316,,KI15bFMD316,,KI15cFSYM278,KI15cFQ278,KI15cFMD278,KI15cFF278,KI16aFSYM096,KI16aFQ096,KI16aFMD096,KI16aFF096,KI16aFL081,KI16bFSYM68,KI16bFQ68,KI16bFMD68,KI16bFF68,KI16bFL38,KI017aFSYM027,KI017aFQ027,KI017aFMD027,KI017aFF027,KI017aFL027
824,,,,,,,,,,,,,KI15bFSYM320,,KI15bFMD320,,KI15cFSYM283,KI15cFQ283,KI15cFMD283,KI15cFF283,KI16aFSYM101,KI16aFQ101,KI16aFMD101,KI16aFF101,KI16aFL087,KI16bFSYM38,KI16bFQ38,KI16bFMD38,KI16bFF38,KI16bFL27,KI017aFSYM034,KI017aFQ034,KI017aFMD034,KI017aFF034,KI017aFL034
850,,,,,,,,,,,,,KI15bFSYM346,,KI15bFMD346,,KI15cFSYM506,KI15cFQ506,KI15cFMD506,KI15cFF506,KI16aFSYM120,KI16aFQ120,KI16aFMD120,KI16aFF120,KI16aFL101,KI16bFSYM182,KI16bFQ182,KI16bFMD182,,,,,,,
857,,,,,,,,,,,,,KI15bFSYM353,,KI15bFMD353,,KI15cFSYM504,KI15cFQ504,KI15cFMD504,KI15cFF504,KI16aFSYM113,KI16aFQ113,KI16aFMD113,KI16aFF113,KI16aFL096,KI16bFSYM178,KI16bFQ178,KI16bFMD178,,,KI17aFSYM224,KI17aFQ224,KI17aFMD224,KI17aFF224,KI17aFL224
906,,,,,,,,,,,,,,,,,,,,,KI16aFSYM024,KI16aFQ024,KI16aFMD024,KI16aFF024,KI16aFL020,KI16bFSYM160,KI16bFQ160,KI16bFMD160,KI16bFF160,KI16bFL131,KI17aFSYM104,KI17aFQ104,KI17aFMD104,KI17aFF104,KI17aFL104
909,,,,,,,,,,,,,,,,,,,,,KI16aFSYM027,KI16aFQ027,KI16aFMD027,KI16aFF027,KI16aFL022,KI16bFSYM165,KI16bFQ165,KI16bFMD165,KI16bFF165,KI16bFL136,KI17aFSYM110,KI17aFQ110,KI17aFMD110,KI17aFF110,KI17aFL110
914,,,,,,,,,,,,,,,,,,,,,KI16aFSYM033,KI16aFQ033,KI16aFMD033,KI16aFF033,KI16aFL028,,,,,,,,,,
919,,,,,,,,,,,,,,,,,,,,,KI16aFSYM038,KI16aFQ038,KI16aFMD038,KI16aFF038,KI16aFL033,KI16bFSYM156,KI16bFQ156,KI16bFMD156,KI16bFF156,KI16bFL127,KI17aFSYM121,KI17aFQ121,KI17aFMD121,KI17aFF121,KI17aFL121
925,,,,,,,,,,,,,,,,,,,,,KI16aFSYM054,KI16aFQ054,KI16aFMD054,KI16aFF054,KI16aFL049,KI16bFSYM003,KI16bFQ003,KI16bFMD003,KI16bFF003,KI16bFL003,KI17aFSYM008,KI17aFQ008,KI17aFMD008,KI17aFF008,KI17aFL008
928,,,,,,,,,,,,,,,,,,,,,KI16aFSYM057,KI16aFQ057,KI16aFMD057,KI16aFF057,KI16aFL051,,,,,,,,,,
933,,,,,,,,,,,,,,,,,,,,,KI16aFSYM062,KI16aFQ062,KI16aFMD062,KI16aFF062,KI16aFL053,KI16bFSYM006,KI16bFQ006,KI16bFMD006,KI16bFF006,KI16bFL006,KI17aFSYM004,KI17aFQ004,KI17aFMD004,KI17aFF004,KI17aFL004
1005,,,,,,,,,,,,,,,,,,,,,KI16aFSYM217,KI16aFQ217,,KI16aFF217,KI16aFL184,KI16bFSYM074,KI16bFQ074,KI16bFMD074,KI16bFF074,,KI17aFSYM074,KI17aFQ074,KI17aFMD074,KI17aFF074,KI17aFL074
1011,,,,,,,,,,,,,,,,,,,,,KI16aFSYM223,KI16aFQ223,KI16aFMD217,KI16aFF223,,KI16bFSYM079,KI16bFQ079,KI16bFMD079,KI16bFF079,,KI17aFSYM078,KI17aFQ078,KI17aFMD078,KI17aFF078,KI17aFL078
1013,,,,,,,,,,,,,,,,,,,,,KI16aFSYM225,KI16aFQ225,,KI16aFF225,KI16aFL191,KI16bFSYM090,KI16bFQ090,KI16bFMD090,KI16bFF090,KI16bFL056,KI17aFSYM079,KI17aFQ079,KI17aFMD079,KI17aFF079,KI17aFL079
1017,,,,,,,,,,,,,,,,,,,,,KI16aFSYM229,KI16aFQ229,KI16aFMD223,KI16aFF229,KI16aFL194,KI16bFSYM086,KI16bFQ086,KI16bFMD086,KI16bFF086,KI16bFL052,KI17aFSYM084,KI17aFQ084,KI17aFMD084,KI17aFF084,KI17aFL084
1020,,,,,,,,,,,,,,,,,,,,,KI16aFSYM212,KI16aFQ212,KI16aFMD206,KI16aFF212,KI16aFL195,KI16bFSYM084,KI16bFQ084,KI16bFMD084,KI16bFF084,KI16bFL050,KI17aFSYM085,KI17aFQ085,KI17aFMD085,KI17aFF085,KI17aFL085
1022,,,,,,,,,,,,,,,,,,,,,KI16aFSYM214,KI16aFQ214,KI16aFMD208,KI16aFF214,KI16aFL198,KI16bFSYM083,KI16bFQ083,KI16bFMD083,KI16bFF083,,KI17aFSYM089,KI17aFQ089,KI17aFMD089,KI17aFF089,KI17aFL089
1023,,,,,,,,,,,,,,,,,,,,,KI16aFSYM215,KI16aFQ215,KI16aFMD209,KI16aFF215,KI16aFL199,KI16bFSYM080,KI16bFQ080,KI16bFMD080,KI16bFF080,KI16bFL047,KI17aFSYM087,KI17aFQ087,KI17aFMD087,KI17aFF087,KI17aFL087
1024,,,,,,,,,,,,,,,,,,,,,KI16aFSYM231,KI16aFQ231,KI16aFMD225,KI16aFF231,KI16aFL200,KI16bFSYM081,KI16bFQ081,KI16bFMD081,KI16bFF081,KI16bFL048,KI17aFSYM088,KI17aFQ088,KI17aFMD088,KI17aFF088,KI17aFL088
1028,,,,,,,,,,,,,,,,,,,,,KI16aFSYM235,KI16aFQ235,KI16aFMD229,KI16aFF235,KI16aFL204,KI16bFSYM094,KI16bFQ094,KI16bFMD094,KI16bFF094,,KI17aFSYM095,KI17aFQ095,KI17aFMD095,KI17aFF095,KI17aFL095
1030,,,,,,,,,,,,,,,,,,,,,KI16aFSYM237,KI16aFQ237,KI16aFMD231,KI16aFF237,KI16aFL206,,,,,,,,,,
1030b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KI17aFSYM098,KI17aFQ098,KI17aFMD098,KI17aFF098,KI17aFL098
1031,,,,,,,,,,,,,,,,,,,,,KI16aFSYM238,KI16aFQ238,KI16aFMD232,KI16aFF238,KI16aFL207,KI16bFSYM096,KI16bFQ096,KI16bFMD096,KI16bFF096,KI16bFL070,KI17aFSYM099,KI17aFQ099,KI17aFMD099,KI17aFF099,KI17aFL099
1036,,,,,,,,,,,,,,,,,,,,,KI16aFSYM261,KI16aFQ261,KI16aFMD255,KI16aFF261,KI16aFL224,KI16bFSYM140,KI16bFQ140,KI16bFMD140,KI16bFF140,KI16bFL111,KI17aFSYM270,KI17aFQ270,KI17aFMD270,KI17aFF270,KI17aFL270
1049,,,,,,,,,,,,,,,,,,,,,KI16aFSYM265,KI16aFQ265,KI16aFMD259,KI16aFF265,KI16aFL226,KI16bFSYM152,KI16bFQ152,KI16bFMD152,KI16bFF152,KI16bFL123,KI17aFSYM280,KI17aFQ280,KI17aFMD280,KI17aFF280,KI17aFL280
1055,,,,,,,,,,,,,,,,,,,,,KI16aFSYM272,KI16aFQ272,KI16aFMD266,KI16aFF272,KI16aFL233,KI16bFSYM131,KI16bFQ131,KI16bFMD131,KI16bFF131,KI16bFL102,,,,,
