SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
66	KI14FSYM338	338	coral	KI2014	Platygyra_sp	34	UK	2014.tag.338	2014	47.589	38.187	1404.439	n	n	n	y	y	y	Halimeda	y	y	y	n	NONE	
67	KI14FSYM341	341	coral	KI2014	Favites_pentagona	34	gone	2014.tag.341	2014	39.05	38.942	786.807	n	n	n	y	y	y	Halimeda	y	y	y	y	3	extensive bleaching
68	KI15cFSYM494	341	coral	KI2015c	Favites_pentagona	34	gone	2015July.tag.341	2015July	65.449	50.248	1778.229	n	n	n	y	y	y	Halimeda	n	y	y	y	3	entire coral is bleaching, most areas are severley bleached (almost white), a few small patches still have colour
69	KI15cFSYM509	341	coral	KI2015c	Favites_pentagona	34	gone	2015July.tag.341	2015July	65.449	50.248	1778.229	n	n	n	y	y	y	Halimeda	n	y	y	y	3	entire coral is bleaching, most areas are severley bleached (almost white), a few small patches still have colour
70	KI14FSYM351	351	coral	KI2014	Platygyra_sp	34	UK	2014.tag.351	2014	17.32	14.919	187.783	n	n	n	y	y	y	Halimeda	n	y	y	y	2	
71	KI14FSYM352	352	coral	KI2014	Favites_pentagona	34	UK	2014.tag.352	2014	20.375	17.847	218.894	n	n	n	y	y	n	NONE	n	y	n	y	NONE	
72	KI14FSYM353	353	coral	KI2014	Platygyra_sp	34	gone	2014.tag.353	2014	17.514	13.932	185.342	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
73	KI15bFSYM263	353	coral	KI2015b	Platygyra_sp	34	gone	2015May.tag.353	2015May	13.763	12.476	124.129	n	n	n	y	y	n	NONE	y	n	n	n	NONE	
74	KI15cFSYM496	353	coral	KI2015c	Platygyra_sp	34	gone	2015July.tag.353	2015July	17.616	15.801	217.646	n	n	n	y	y	n	NONE	y	y	n	y	2	entire coral is bleaching but not completely white, a few patches of severe bleaching
75	KI14FSYM371	371	coral	KI2014	Platygyra_sp	25	UK	2014.tag.371	2014	17.583	16.304	217.764	n	y	n	y	y	y	Halimeda, Caulerpa	y	y	y	y	2	Much of coral slightly bleached, a few whiter and larger patches
76	KI14FSYM373	373	coral	KI2014	Favites_pentagona	25	UK	2014.tag.373	2014	29.64	25.431	395.443	n	n	n	y	y	n	NONE	y	y	y	y	1	tops of mounds are bleaching, some paling in centre of coral, patches are <5cm 
