SampleID	coral_tag	SampleType	field_season	Coral_Species	site	Status	ref	Year_Pre_Post	colony_width1	colony_width2	colony_area	binary_tissue_loss	binary_disease	cyanobacteria_contact	binary_algal_contact	turf_contact	binary_macroalgae_contact	type_of_macroalgae	binary_CCA_contact	sediment_contact	binary_coral_contact	binary_bleaching	bleaching_proportion	notes_bleaching
263	KI16aFSYM217	1005	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1005	2016March	73.436	57.985	2284.126	n	n	n	y	y	n	NONE	y	y	n	y	1	two bleached patches around algae
264	KI16aFSYM220	1008	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1008	2016March	23.566	20	310.168	n	n	n	y	y	n	NONE	n	y	n	y	1	small bleached patches
265	KI16aFSYM221	1009	coral	KI2016a	Favites_pentagona	37	alive	2016March.tag.1009	2016March	18.948	14.284	166.11	n	n	n	y	y	y	Halimeda	y	n	n	y	1	small bleached patches on top of the branches
266	KI16aFSYM223	1011	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1011	2016March	14.988	14.031	157.611	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
267	KI16aFSYM225	1013	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1013	2016March	21.77	21.769	322.18	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
268	KI16aFSYM229	1017	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1017	2016March	23.509	20.259	361.432	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
269	KI16aFSYM212	1020	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1020	2016March	29.415	26.859	569.436	n	n	n	y	y	n	NONE	y	y	y	y	1	small patches starting to bleach
270	KI16aFSYM214	1022	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1022	2016March	15.489	15.193	169.875	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
271	KI16aFSYM215	1023	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1023	2016March	20.376	16.961	239.14	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
272	KI16aFSYM231	1024	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1024	2016March	22.456	10.614	164.933	n	n	n	y	y	n	NONE	n	y	y	n	NONE	
273	KI16aFSYM235	1028	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1028	2016March	25.916	21.431	419.751	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
274	KI16aFSYM237	1030	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1030	2016March	27.278	26.429	506.901	n	n	n	y	y	n	NONE	y	y	n	n	NONE	
275	KI16aFSYM238	1031	coral	KI2016a	Platygyra_sp	37	alive	2016March.tag.1031	2016March	21.735	20.503	331.353	n	n	n	y	y	n	NONE	y	y	n	y	1	small bleached patches seen
276	KI16aFSYM239	1032	coral	KI2016a	Favites_pentagona	37	alive	2016March.tag.1032	2016March	22.724	19.862	274.698	n	n	n	y	y	y	Halimeda	n	y	n	y	1	small bleached patches seen
277	KI16aFSYM256	1033	coral	KI2016a	Favites_pentagona	40	alive	2016March.tag.1033	2016March	37.231	24.742	694.17	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
278	KI16aFSYM259	1034	coral	KI2016a	Favites_pentagona	40	alive	2016March.tag.1034	2016March	43.197	40.159	1099.841	n	n	n	y	y	n	NONE	y	y	n	n	NONE	 bleaching?
279	KI16aFSYM260	1035	coral	KI2016a	Platygyra_sp	40	alive	2016March.tag.1035	2016March	25.587	21.36	436.987	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
280	KI16aFSYM261	1036	coral	KI2016a	Platygyra_sp	40	alive	2016March.tag.1036	2016March	20.556	17.106	275.323	n	n	n	y	y	n	NONE	n	y	n	y	1	small patches starting to bleach
281	KI16aFSYM262	1037	coral	KI2016a	Favites_pentagona	40	alive	2016March.tag.1037	2016March	28.763	20.685	432.12	n	n	n	y	y	n	NONE	y	y	n	y	1	small bleaching patches seen
282	KI16aFSYM264	1040	coral	KI2016a	Platygyra_sp	40	alive	2016March.tag.1040	2016March	26.573	23.026	455.404	n	n	n	y	y	n	NONE	y	y	n	y	1	small bleached patches seen
283	KI16aFSYM265	1049	coral	KI2016a	Platygyra_sp	40	alive	2016March.tag.1049	2016March	22.714	19.618	314.902	n	n	n	y	y	n	NONE	y	y	n	y	1	many small bleached patches
284	KI16aFSYM266	1050	coral	KI2016a	Favites_pentagona	40	alive	2016March.tag.1050	2016March	21.516	18.781	252.892	n	n	n	y	y	n	NONE	n	y	n	y	1	samll bleaching patches
285	KI16aFSYM272	1055	coral	KI2016a	Platygyra_sp	40	alive	2016March.tag.1055	2016March	18.85	17.213	235.31	n	n	n	y	y	n	NONE	n	y	n	y	1	small bleached patches seen
286	KI16aFSYM273	1056	coral	KI2016a	Favites_pentagona	40	alive	2016March.tag.1056	2016March	27.769	16.177	290.413	n	n	n	y	y	n	NONE	y	y	y	n	NONE	
287	KI15cFSYM428	410_893	coral	KI2015c	Platygyra_sp	25	UK	2015July.tag.410_893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
288	KI15cFSYM427	412_892	coral	KI2015c	Favites_pentagona	25	UK	2015July.tag.412_892	2015July	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	* NO PHOTO 
289	KI14FSYM497	497_745	coral	KI2014	Favites_pentagona	32	alive	2014.tag.497_745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
290	KI15bFSYM194	497_745	coral	KI2015b	Favites_pentagona	32	alive	2015May.tag.497_745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
291	KI16aFSYM006	497_745	coral	KI2016a	Favites_pentagona	32	alive	2016March.tag.497_745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
292	KI16aFSYM017	754_899	coral	KI2016a	Platygyra_sp	32	alive	2016March.tag.754_899	2016March	14.721	9.695	58.545	n	n	n	y	y	n	NONE	n	y	n	y	1	one bleached patch
