"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"41","KI2015a_Post.tag253","KI15aFSYM113","253","coral","KI2015a_Post","Platygyra_sp",8,"gone","KI2015a","8","253","_Post","HD","23-03-2016","27.21","20.28","109.027","n","n","n","y","y","n","NONE","y","y","y","y","1","small bleached patches on top of coral","","KI2015a_Post",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","KI2015b.tag253","KI15bFSYM164","253","coral","KI2015b","Platygyra_sp",8,"gone","KI2015b","8","253","","JM","1/6/2016","20.013","16.514","187.261","n","n","n","y","y","n","NONE","y","y","y","y","1","few small patches bleached","","KI2015b","KI15bFQ164","KIPlaty_plate6_data.txt",23.57585,NA,17.3018,NA,0.0774281925399274,NA,0.0362038671967523,NA,2,0,2,0,0.0031215744225755,0,FALSE,0.0031215744225755,"253","KI2015b",164,NA,0.0031215744225755
"43","KI2015c.tag253","KI15cFSYM365","253","coral","KI2015c","Platygyra_sp",8,"gone","KI2015c","8","253","","HD","21-09-2015","27.708","21.005","374.508","y","y","n","y","y","n","NONE","y","n","y","y","1","Small very white spots","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","KI2014.tag258","KI14FSYM258","258","coral","KI2014","Platygyra_sp",27,"UK","KI2014","27","258","","HD","18-03-2016","12.72","10.597","112.834","n","n","n","y","y","n","NONE","n","y","y","y","2","large area on top of coral bleaching, > 5 cm","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","KI2014.tag266","KI14FSYM266","266","coral","KI2014","Platygyra_sp",27,"UK","KI2014","27","266","","HD","18-03-2016","9.953","7.647","62.733","n","n","n","y","y","n","NONE","n","y","n","y","3","much of coral bleached","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","KI2014.tag278","KI14FSYM278","278","coral","KI2014","Platygyra_sp",14,"dead_or_gone","KI2014","14","278","","DL","1/3/2016","29.689","24.829","441.862","n","n","n","y","y","n","NONE","y","y","y","y","1","a few small bleached areas ","","KI2014","KI14FQ192","KIPlaty_plate6_data.txt",23.88535,NA,18.4208,NA,0.145734707602547,NA,0.151462272530157,NA,2,0,2,0,0.00547088360431345,0,FALSE,0.00547088360431345,"278","KI2014",192,NA,0.00547088360431345
"54","KI2014.tag289","KI14FSYM289","289","coral","KI2014","Platygyra_sp",14,"alive","KI2014","14","289","","HD","18-03-2016","15.527","14.673","148.141","n","n","n","y","y","n","NONE","n","y","y","y","1","left side starting to bleach","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","KI2016a.tag289","KI16aFSYM108","289","coral","KI2016a","Platygyra_sp",14,"alive","KI2016a","14","289","","JM","10/6/2016","16","14.863","157.824","n","n","n","y","y","n","NONE","y","y","n","y","1","small bleached patch to lower right ","","KI2016a","KI16aFMD108","KIPlaty_plate5_data.txt",35.9996,23.47385,18.03295,NA,NA,0.0511238202797888,0.513713076532028,NA,1,2,2,0,0,0.0278065327217058,FALSE,0.0278065327217058,"289","KI2016a",108,NA,0.0278065327217058
"57","KI2014.tag299","KI14FSYM299","299","coral","KI2014","Platygyra_sp",14,"dead_or_gone","KI2014","14","299","","HD","18-03-2016","14.866","11.638","144.122","n","n","n","y","y","n","NONE","y","y","y","y","2","bleaching patch > 5 cm","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","KI2014.tag306","KI14FSYM306","306","coral","KI2014","Platygyra_sp",14,"dead_or_gone","KI2014","14","306","","JL","18-03-2016","23.29","16.289","301.23","n","n","n","y","y","n","NONE","n","y","n","y","1","a few small patches where the tops of ridges are bleaching ","","KI2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
