"","ref","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","field_season","site","coral_tag","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","Pax-C.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","Pax-C.CT.sd","C.reps","D.reps","PaxC.reps","Pax-C.reps","C.PaxC","D.PaxC","fail","S.H","Tag","field_season","Sample.Num","Pre.Post","S.H"
"231","KI2015b.tag813","KI15bFSYM309","813","coral","KI2015b","Platygyra_sp",5,"alive","KI2015b","5","813","","JM","3/6/2016","16.361","15.124","196.08","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2015b","KI15bFMD309","KIPlaty_plate2_data.txt",24.86135,NA,17.74245,NA,0.486277333421991,NA,0.0473054436613803,NA,2,0,2,0,0.00173799491605032,0,FALSE,0.00173799491605032,"813","KI2015b",309,NA,0.00173799491605032
"232","KI2015c.tag813","KI15cFSYM277","813","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","813","","DC_JMI","17-09-2015","18.269","15.33","222.845","n","n","n","y","y","n","NONE","y","n","n","n","NONE","","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","KI2016a.tag813","KI16aFSYM095","813","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","813","","HD","3/6/2016","18.179","15.13","22.988","n","n","n","y","y","n","NONE","y","y","y","y","3","most of coral bleached or starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","KI2015b.tag820","KI15bFSYM316","820","coral","KI2015b","Platygyra_sp",5,"alive","KI2015b","5","820","","HD","2/8/2016","29.031","26.736","605.214","n","n","n","y","y","y","Halimeda","y","y","y","y","1","a few small bleached patches","","KI2015b","KI15bFMD316","KIPlaty_plate1_data.txt",24.5794,NA,20.725,NA,0.0927724096916749,NA,0.0158391918985794,NA,2,0,2,0,0.0167017093856139,0,FALSE,0.0167017093856139,"820","KI2015b",316,NA,0.0167017093856139
"235","KI2015c.tag820","KI15cFSYM278","820","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","820","","DC_JMI","17-09-2015","37.164","31.562","924.473","n","n","n","y","y","y","Halimeda, Peysson_red","y","n","y","y","2","Variable, patchy bleaching: some spots completely some just lighter in colour","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","KI2016a.tag820","KI16aFSYM096","820","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","820","","HD","3/6/2016","41.762","37.858","1181.053","n","n","n","y","y","y","Halimeda","n","y","y","y","1","a few small spots","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"237","KI2015b.tag824","KI15bFSYM320","824","coral","KI2015b","Platygyra_sp",5,"alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","KI2015c.tag824","KI15cFSYM283","824","coral","KI2015c","Platygyra_sp",5,"alive","KI2015c","5","824","","HD","21-09-2015","15.91","15.052","190.021","n","n","n","y","y","n","NONE","n","n","y","y","1","A few lighter spots, algae growing in sampled area","","KI2015c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","KI2016a.tag824","KI16aFSYM101","824","coral","KI2016a","Platygyra_sp",5,"alive","KI2016a","5","824","","JM","3/6/2016","22.168","20.556","338.759","n","n","n","y","y","n","NONE","y","y","y","y","1","a few small spots","","KI2016a","KI16aFMD101","KIPlaty_plate5_data.txt",39.657,31.9141,21.3375,NA,NA,0.0486489465456341,16.5645420347198,NA,1,2,2,0,0,0.00079094646621416,FALSE,0.00079094646621416,"824","KI2016a",101,NA,0.00079094646621416
"243","KI2015b.tag850","KI15bFSYM346","850","coral","KI2015b","Platygyra_sp",34,"alive","KI2015b","34","850","","JM","27-05-2016","15.29","14.812","174.219","n","n","n","y","y","n","NONE","y","y","n","y","1","one side tops of ridges are bleaching ","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","KI2015c.tag850","KI15cFSYM506","850","coral","KI2015c","Platygyra_sp",34,"alive","KI2015c","34","850","","JL","16-12-2015","16.807","15.759","213.15","n","n","n","y","y","y","Caulerpa","n","y","n","y","2","one large, completely bleached patch, rest of coral is lighter in colour ","","KI2015c","KI15cFMD506","KIPlaty_plate5_data.txt",29.9988,26.666,19.68815,NA,0.438123361623184,0.0824486506863502,0.45247762928127,NA,2,2,2,0,0.000190211168298455,0.00958249909585288,FALSE,0.00977271026415134,"850","KI2015c",506,NA,0.00977271026415134
"245","KI2016a.tag850","KI16aFSYM120","850","coral","KI2016a","Platygyra_sp",34,"alive","KI2016a","34","850","","JM","16-06-2016","14.08","13.499","148.162","n","n","n","y","y","n","NONE","n","y","n","y","1","small patches starting to bleach, some near algal colonies; used 5 point scale","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","KI2015b.tag857","KI15bFSYM353","857","coral","KI2015b","Platygyra_sp",34,"alive","KI2015b","34","857","","JM","2/6/2016","25.307","23.841","445.9","n","n","n","y","y","n","NONE","y","y","y","y","1","a few small bleached patches","","KI2015b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","KI2015c.tag857","KI15cFSYM504","857","coral","KI2015c","Platygyra_sp",34,"alive","KI2015c","34","857","","JL","16-12-2015","31.555","30.172","680.516","n","n","n","y","y","n","NONE","y","y","n","y","3","over 80% of coral is completely, severely bleached ","","KI2015c","KI15cFMD504","KIPlaty_plate8_data.txt",31.5331,34.3435,17.66455,NA,0.652235294966471,2.57683853200002,0.191130962954726,NA,2,2,2,0,1.61510734246451e-05,1.15121567943416e-05,FALSE,2.76632302189866e-05,"857","KI2015c",504,NA,2.76632302189866e-05
"250","KI2016a.tag857","KI16aFSYM113","857","coral","KI2016a","Platygyra_sp",34,"alive","KI2016a","34","857","","JM","16-06-2016","27.438","25.383","241.341","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"251","KI2016a.tag900","KI16aFSYM018","900","coral","KI2016a","Platygyra_sp",32,"alive","KI2016a","32","900","","JM","21-06-2016","12.078","11.754","111.355","n","n","n","y","y","n","NONE","n","y","n","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"253","KI2016a.tag906","KI16aFSYM024","906","coral","KI2016a","Platygyra_sp",8,"alive","KI2016a","8","906","","HD","5/8/2016","34.148","31.906","707.208","n","n","n","y","y","n","NONE","n","y","y","n","NONE","paling in a few areas","","KI2016a","KI16aFMD024","KIPlaty_plate1_data.txt",32.6213,24.5838,20.09575,NA,3.91468456200497,0.284115504680756,0.0325976226126992,NA,2,2,2,0,4.09717652434007e-05,0.0538249047743101,FALSE,0.0538658765395535,"906","KI2016a",24,NA,0.0538658765395535
"254","KI2016a.tag909","KI16aFSYM027","909","coral","KI2016a","Platygyra_sp",8,"alive","KI2016a","8","909","","HD","5/8/2016","17.874","14.61","197.765","n","n","n","y","y","n","NONE","n","y","y","y","1","some areas starting to bleach","","KI2016a","KI16aFMD027","KIPlaty_plate2_data.txt",NA,23.8486,19.48825,NA,NA,0.0306884343034975,0.0178898015640207,NA,0,2,2,0,0,0.0588064280221542,FALSE,0.0588064280221542,"909","KI2016a",27,NA,0.0588064280221542
"256","KI2016a.tag914","KI16aFSYM033","914","coral","KI2016a","Platygyra_sp",8,"alive","KI2016a","8","914","","HD","5/8/2016","11.852","9.784","82.018","n","n","n","y","y","y","Halimeda","n","y","y","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","KI2016a.tag919","KI16aFSYM038","919","coral","KI2016a","Platygyra_sp",8,"alive","KI2016a","8","919","","HD","5/8/2016","15.532","15.532","175.602","n","n","n","y","y","y","Halimeda","n","y","y","y","1","a few small areas ","","KI2016a","KI16aFMD038","KIPlaty_plate1_data.txt",35.79695,25.25395,19.8087,NA,1.00048538470084,0.214324065377643,0.0981464212286927,NA,2,2,2,0,3.71627727521639e-06,0.0277228170085866,FALSE,0.0277265332858618,"919","KI2016a",38,NA,0.0277265332858618
"258","KI2016a.tag925","KI16aFSYM054","925","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","925","","HD","12/7/2016","30.586","28.875","692.604","n","n","n","y","y","n","NONE","n","y","y","y","2","much of coral starting to bleach","","KI2016a","KI16aFMD054","KIPlaty_plate1_data.txt",33.34925,24.94295,20.62515,NA,4.56218224153749,0.392373552880415,0.139087903859394,NA,2,2,2,0,3.57038599280223e-05,0.060566660297055,FALSE,0.060602364156983,"925","KI2016a",54,NA,0.060602364156983
"259","KI2016a.tag928","KI16aFSYM057","928","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","928","","HD","12/7/2016","40.635","29.205","953.444","n","n","n","y","y","n","NONE","n","y","y","y","1","large patches starting to bleach, measurements not accurate as image cut off","","KI2016a","KI16aFMD057","KIPlaty_plate2_data.txt",NA,24.0205,19.15245,NA,NA,0.0838628642487225,0.426456099733608,NA,0,2,2,0,0,0.0413610801414139,FALSE,0.0413610801414139,"928","KI2016a",57,NA,0.0413610801414139
"261","KI2016a.tag933","KI16aFSYM062","933","coral","KI2016a","Platygyra_sp",35,"alive","KI2016a","35","933","","HD","2/8/2016","19.4","18.076","267.529","n","n","n","y","n","n","NONE","n","y","n","n","NONE","","","KI2016a","KI16aFMD062","KIPlaty_plate1_data.txt",NA,23.4191,17.62605,NA,NA,0.0142835569799701,0.0607404725039236,NA,0,2,2,0,0,0.0217840751129853,FALSE,0.0217840751129853,"933","KI2016a",62,NA,0.0217840751129853
"262","KI2016a.tag936","KI16aFSYM069","936","coral","KI2016a","Platygyra_sp",27,"alive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"264","KI2016a.tag939","KI16aFSYM072","939","coral","KI2016a","Platygyra_sp",27,"alive","KI2016a","27","939","","JM","13-06-2016","8.554","8.043","51.086","n","n","n","y","y","n","NONE","n","y","n","y","2","tops of ridges are bleaching over the entire coral but not completely bleached","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"265","KI2016a.tag941","KI16aFSYM074","941","coral","KI2016a","Platygyra_sp",27,"alive","KI2016a","27","941","","JM","13-06-2016","11.083","10.094","85.901","n","n","n","y","y","n","NONE","n","y","n","y","1","small bleached patches ","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","KI2016a.tag1005","KI16aFSYM217","1005","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1005","","JM","17-06-2016","73.436","57.985","2284.126","n","n","n","y","y","n","NONE","y","y","n","y","1","two bleached patches around algae","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"267","KI2016a.tag1008","KI16aFSYM220","1008","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1008","","JM","17-06-2016","23.566","20","310.168","n","n","n","y","y","n","NONE","n","y","n","y","1","small bleached patches","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"269","KI2016a.tag1011","KI16aFSYM223","1011","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1011","","JM","20-06-2016","14.988","14.031","157.611","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","KI2016a.tag1013","KI16aFSYM225","1013","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1013","","JM","20-06-2016","21.77","21.769","322.18","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","KI2016a.tag1017","KI16aFSYM229","1017","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1017","","JM","20-06-2016","23.509","20.259","361.432","n","n","n","y","y","n","NONE","n","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","KI2016a.tag1020","KI16aFSYM212","1020","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1020","","JM","20-06-2016","29.415","26.859","569.436","n","n","n","y","y","n","NONE","y","y","y","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","KI2016a.tag1022","KI16aFSYM214","1022","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1022","","JM","20-06-2016","15.489","15.193","169.875","n","n","n","y","y","n","NONE","n","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","KI2016a.tag1023","KI16aFSYM215","1023","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1023","","JM","20-06-2016","20.376","16.961","239.14","n","n","n","y","y","n","NONE","y","y","y","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"275","KI2016a.tag1024","KI16aFSYM231","1024","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1024","","JM","20-06-2016","22.456","10.614","164.933","n","n","n","y","y","n","NONE","n","y","y","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","KI2016a.tag1028","KI16aFSYM235","1028","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1028","","JM","20-06-2016","25.916","21.431","419.751","n","n","n","y","y","n","NONE","n","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","KI2016a.tag1030","KI16aFSYM237","1030","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1030","","JM","20-06-2016","27.278","26.429","506.901","n","n","n","y","y","n","NONE","y","y","n","n","NONE","","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","KI2016a.tag1031","KI16aFSYM238","1031","coral","KI2016a","Platygyra_sp",37,"alive","KI2016a","37","1031","","JM","20-06-2016","21.735","20.503","331.353","n","n","n","y","y","n","NONE","y","y","n","y","1","small bleached patches seen","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"282","KI2016a.tag1035","KI16aFSYM260","1035","coral","KI2016a","Platygyra_sp",40,"alive","KI2016a","40","1035","","JM","21-06-2016","25.587","21.36","436.987","n","n","n","y","y","n","NONE","n","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","KI2016a.tag1036","KI16aFSYM261","1036","coral","KI2016a","Platygyra_sp",40,"alive","KI2016a","40","1036","","JM","23-06-2016","20.556","17.106","275.323","n","n","n","y","y","n","NONE","n","y","n","y","1","small patches starting to bleach","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"285","KI2016a.tag1040","KI16aFSYM264","1040","coral","KI2016a","Platygyra_sp",40,"alive","KI2016a","40","1040","","JM","23-06-2016","26.573","23.026","455.404","n","n","n","y","y","n","NONE","y","y","n","y","1","small bleached patches seen","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","KI2016a.tag1049","KI16aFSYM265","1049","coral","KI2016a","Platygyra_sp",40,"alive","KI2016a","40","1049","","JM","23-06-2016","22.714","19.618","314.902","n","n","n","y","y","n","NONE","y","y","n","y","1","many small bleached patches","","KI2016a","KI16aFMD259","KIPlaty_plate8_data.txt",32.6255,23.82055,17.70465,NA,4.51473537651987,0.522764043331215,0.0146371103705626,NA,2,2,2,0,7.7880284088769e-06,0.0174161273509595,FALSE,0.0174239153793684,"1049","KI2016a",259,NA,0.0174239153793684
"288","KI2016a.tag1055","KI16aFSYM272","1055","coral","KI2016a","Platygyra_sp",40,"alive","KI2016a","40","1055","","JM","23-06-2016","18.85","17.213","235.31","n","n","n","y","y","n","NONE","n","y","n","y","1","small bleached patches seen","","KI2016a","KI16aFMD266","KIPlaty_plate8_data.txt",37.583,22.69405,18.01405,NA,NA,2.17527259096418,0.284751900783822,NA,1,2,2,0,0,0.0471194879697641,FALSE,0.0471194879697641,"1055","KI2016a",266,NA,0.0471194879697641
"290","KI2015c.tag410_893","KI15cFSYM428","410_893","coral","KI2015c","Platygyra_sp",25,"UK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"295","KI2016a.tag754_899","KI16aFSYM017","754_899","coral","KI2016a","Platygyra_sp",32,"alive","KI2016a","32","754_899","","JM","21-06-2016","14.721","9.695","58.545","n","n","n","y","y","n","NONE","n","y","n","y","1","one bleached patch","","KI2016a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
