"","SampleID","coral_tag","SampleType","field_season","Coral_Species","site","Status","ref","before.after","annotator","date_annotated","colony_width1","colony_width2","colony_area","binary_tissue_loss","binary_disease","cyanobacteria_contact","binary_algal_contact","turf_contact","binary_macroalgae_contact","type_of_macroalgae","binary_CCA_contact","sediment_contact","binary_coral_contact","binary_bleaching","bleaching_proportion","notes_bleaching","notes","Year_Pre_Post","Sample.Name","File.Name","C.CT.mean","D.CT.mean","PaxC.CT.mean","C.CT.sd","D.CT.sd","PaxC.CT.sd","C.reps","D.reps","PaxC.reps","C.PaxC","D.PaxC","fail","S.H","Sample.Num","Pre.Post","dom","S.H.log","C.PaxC.log","D.PaxC.log","CtoD","S.H.log10","C.PaxC.log10","D.PaxC.log10","bleaching2Plus"
"51","KI14FSYM278","278","coral","KI2014","Platygyra_sp","14","dead_or_gone","KI2014.tag278","before","DL","1/3/2016","29.689","24.829","441.862","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","a few small bleached areas ","","KI2014","KI14FQ192","KIPlaty_plate6_data.txt",23.88535,NA,18.4208,0.145734707602547,NA,0.151462272530157,2,0,2,0.00547088360431345,0,FALSE,0.00547088360431345,192,NA,"C",-5.20831513915629,-5.20830397532363,-16.6111407886174,0.313542822952446,-2.26194252494875,-2.26193767655782,-7.21412678261458,"FALSE"
"55","KI16aFSYM108","289","coral","KI2016a","Platygyra_sp","14","alive","KI2016a.tag289","after","JM","10/6/2016","16","14.863","157.824","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","small bleached patch to lower right ","","KI2016a","KI16aFMD108","KIPlaty_plate5_data.txt",35.9996,23.47385,18.03295,NA,0.0511238202797888,0.513713076532028,1,2,2,0,0.0278065327217058,FALSE,0.0278065327217058,108,NA,"D",-3.58248429590195,-16.6111407886174,-3.58248209942879,4.63676867813687,-1.55585316121527,-7.21412678261458,-1.5558522072991,"FALSE"
"62","KI15cFSYM488","328","coral","KI2015c","Platygyra_sp","34","alive","KI2015c.tag328","during","JL","4/1/2016","17.347","16.209","208.612","n","n","n","y","y","n","NONE","n","y","n","y","3","entire coral is severeley bleached (completely white) except for the edges that contact the ground, which are normal colour","","KI2015c","KI15cFMD488","KIPlaty_plate0_data.txt",29.58425,33.5523,17.77535,0.0852063671329789,NA,0.218708127420999,2,1,2,6.7331427496325e-05,0,FALSE,6.7331427496325e-05,488,NA,"C",-9.60588345414178,-9.60497676483178,-16.6111407886174,0.578224992916409,-4.17178217793952,-4.17138840777539,-7.21412678261458,"3"
"63","KI16aFSYM116","328","coral","KI2016a","Platygyra_sp","34","alive","KI2016a.tag328","after","JM","16-06-2016","14.025","12.206","76.608","n","n","n","y","y","n","NONE","n","y","n","n","FALSE","bleaching?","","KI2016a","KI16aFMD116","KIPlaty_plate0_data.txt",33.01735,24.24265,17.19825,1.93160359416729,0.166947911038144,0.328168257148676,2,2,2,4.17856664711196e-06,0.0091505087519918,FALSE,0.00915468731863891,116,NA,"D",-4.6934892556018,-12.3710314863423,-4.6939391253101,2.63553300460091,-2.03835648458006,-5.37267070996984,-2.03855186051195,"FALSE"
"65","KI14FSYM338","338_1168","coral","KI2014","Platygyra_sp","34","UK","KI2014.tag338_1168","before",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KI14FQ229","KIPlaty_plate5_data.txt",24.05585,NA,20.57665,0.276832304834534,NA,0.786373451357558,2,0,2,0.0216624402052746,0,FALSE,0.0216624402052746,229,NA,"C",-3.83217538423161,-3.83217256477621,-16.6111407886174,0.230698939557611,-1.66429262305726,-1.66429139858334,-7.21412678261458,NA
"72","KI15bFSYM263","353","coral","KI2015b","Platygyra_sp","34","gone","KI2015b.tag353","before","JM","27-05-2016","13.763","12.476","124.129","n","n","n","y","y","n","NONE","y","n","n","n","FALSE","","","KI2015b","KI15bFMD263","KIPlaty_plate11_data.txt",24.2761,35.8132,18.67075,0.232496709654138,NA,0.303419519807149,2,1,2,0.00496217928790765,0,FALSE,0.00496217928790765,263,NA,"C",-5.30591026217914,-5.30589795387857,-16.6111407886174,0.319418035245019,-2.30432754833823,-2.30432220291122,-7.21412678261458,"FALSE"
"73","KI15cFSYM496","353","coral","KI2015c","Platygyra_sp","34","gone","KI2015c.tag353","during","JL","16-12-2015","17.616","15.801","217.646","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","entire coral is bleaching but not completely white, a few patches of severe bleaching; DC edited 2 to 1","","KI2015c","KI15cFMD496","KIPlaty_plate9_data.txt",23.8355,35.7687,17.4616,0.544189378801167,1.97848477375996,0.213121983849626,2,2,2,0.00291283475953694,3.72421468781356e-06,FALSE,0.00291655897422476,496,NA,"C",-5.83735079108534,-5.83860756000088,-12.4843877763263,0.467672717686038,-2.53512923750194,-2.53567504530699,-5.42190072119892,"FALSE"
"77","KI14FSYM379","379","coral","KI2014","Platygyra_sp","25","UK","KI2014.tag379","before","JL","20-01-2016","13.947","11.191","108.839","n","n","n","y","y","y","Halimeda","y","y","n","y","FALSE","a few patches <5cm where where the ridges are bleaching (Platygyra)","","KI2014","KI14FQ254","KIPlaty_plate5_data.txt",22.83915,34.21365,17.25315,0.421647773621538,0.381766951162619,0.049709606717414,2,2,2,0.00502918234255982,9.47112788436692e-06,FALSE,0.00503865347044419,254,NA,"C",-5.2906164011574,-5.29248571991541,-11.5608345706772,0.45779443409209,-2.2976855088895,-2.29849734371102,-5.02080666024144,"FALSE"
"78","KI15cFSYM404","379","coral","KI2015c","Platygyra_sp","25","UK","KI2015c.tag379","during","HD","29-10-2015","18.846","14.525","218.027","n","n","n","y","y","y","Caulerpa, Peysson_red","y","n","y","y","2","Top very bleached","","KI2015c","KI15cFMD404","KIPlaty_plate5_data.txt",24.97305,26.2013,18.48945,1.99821305295507,2.35565553084487,0.193393704654522,2,2,2,0.00269955921364208,0.00576133024517883,FALSE,0.00846088945882092,404,NA,"D",-4.77230097391404,-5.91464414919051,-5.15657628456256,1.14700991952692,-2.07258397895238,-2.56869731641479,-2.23947262589869,"2"
"85","KI15bFSYM131","389","coral","KI2015b","Platygyra_sp","30","UK","KI2015b.tag389","before","JM","2/6/2016","14.989","12.397","145.45","n","n","n","y","y","n","NONE","y","y","n","n","FALSE","","","KI2015b","KI15bFMD131","KIPlaty_plate2_data.txt",27.0357,24.6196,19.1089,0.17649385258416,0.218071731317933,0.60542482605192,2,2,2,0.00099276479552304,0.0264932321518197,FALSE,0.0274859969473428,131,NA,"D",-3.59407860591174,-6.91495526489182,-3.63086366375025,1.90449322951154,-1.560888506074,-3.00312691415036,-1.57686405370976,"FALSE"
"90","KI14FSYM410","410_893","coral","KI2014","Platygyra_sp","25","UK","KI2014.tag410_893","before","JL","19-02-2016","25.965","23.755","413.118","n","n","n","y","y","n","NONE","y","y","y","n","FALSE","","","KI2014","KI14FQ271","KIPlaty_plate5_data.txt",24.70795,30.81855,19.6433,0.00247487373415468,0.135269527240988,0.270397633125734,2,2,2,0.00721837383792107,0.000522318589915503,FALSE,0.00774069242783657,271,NA,"C",-4.8612641344211,-4.93111712044942,-7.55711590440909,0.652513099285989,-2.11122018865327,-2.14155695502983,-3.28201373638817,"FALSE"
"101","KI15cFSYM348","442","coral","KI2015c","Platygyra_sp","30","gone","KI2015c.tag442","during","HD","5/11/2015","43.754","18.796","564.161","n","y","n","y","y","n","NONE","n","n","y","y","FALSE","Many small patches","","KI2015c","KI15cFMD348","KIPlaty_plate3_data.txt",33.5003,25.0833,19.47595,4.69914882505332,0.300944646072994,0.379928473531531,2,2,2,1.44977604047303e-05,0.0247765250636366,FALSE,0.0247910228240414,348,NA,"D",-3.69727367424438,-11.1373124102327,-3.69785617901896,3.01182952258231,-1.6057055548105,-4.83687332299667,-1.60595853341978,"FALSE"
"110","KI15bFSYM140","466","coral","KI2015b","Platygyra_sp","27","dead","KI2015b.tag466","before","HD","6/5/2016","12.456","10.338","96.233","n","n","n","y","y","n","NONE","n","y","y","y","FALSE",">80% of coral bleaching; DC edited 3 to 1","","KI2015b","KI15bFMD140","KIPlaty_plate2_data.txt",29.6684,24.4618,17.8318,NA,0.34902790719368,0.133501760288021,1,2,2,0,0.0121952882811156,FALSE,0.0121952882811156,140,NA,"D",-4.40670560830578,-16.6111407886174,-4.40670060012429,3.7695188069162,-1.91380792905931,-7.21412678261458,-1.91380575403373,"FALSE"
"111","KI15cFSYM064","466","coral","KI2015c","Platygyra_sp","27","dead","KI2015c.tag466","during","JL","20-11-2015","8.79","8.775","63.406","n","n","n","y","y","n","NONE","n","y","n","y","2","one pactch >5cm","","KI2015c","KI15cFMD064","KIPlaty_plate4_data.txt",32.68645,23.79545,17.96925,4.17596051765339,0.539593184723453,0.190282434817299,2,2,2,8.96875758433793e-06,0.0212892313491785,FALSE,0.0212982001067628,64,NA,"D",-3.84913271186717,-11.6149765789284,-3.84955103569018,3.01722888493825,-1.67165709687721,-5.0443202356641,-1.67183877260519,"2"
"114","KI15bFSYM138","470","coral","KI2015b","Platygyra_sp","27","gone","KI2015b.tag470","before","HD","6/5/2016","10.455","8.053","65.825","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","many small areas are bleached or starting to; DC edited 2 to NONE","","KI2015b","KI15bFMD138","KIPlaty_plate2_data.txt",34.1921,25.1092,18.5978,5.4253474893319,0.162493138316669,0.0786302740679442,2,2,2,4.88313663533857e-06,0.0132401903367205,FALSE,0.0132450734733558,138,NA,"D",-4.32412960902126,-12.2172927551329,-4.32449373974945,2.8251382682868,-1.8779456282324,-5.30590282735078,-1.87810376819834,"FALSE"
"115","KI15cFSYM072","470","coral","KI2015c","Platygyra_sp","27","gone","KI2015c.tag470","during","JL","20-11-2015","16.542","12.04","164.169","n","n","n","y ","y","n","NONE","n","y","n","y","FALSE","diffuse bleaching; DC deleted NO's data for this same coral","","KI2015c","KI15cFMD072","KIPlaty_plate2_data.txt",36.59865,25.672,19.98455,0.627981532371774,0.322016428152354,0.0666801694658918,2,2,2,2.40828836165752e-06,0.0234383963136032,FALSE,0.0234408046019649,72,NA,"D",-3.75327698884006,-12.9115496340653,-3.75337712744693,3.43998196707928,-1.63002748530769,-5.6074147588945,-1.63007097495208,"FALSE"
"143","KI15aFSYM043","594","coral","KI2015a","Platygyra_sp","15","alive","KI2015a_Pre.tag594","before","JL","22-03-2016","33.181","30.075","749.895","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","several small bleached patches, some severely bleached, others starting to bleach","","KI2015a_Pre","KI15aFQ043","KIPlaty_plate6_data.txt",23.81235,NA,18.6596,0.14149206691543,NA,0.320036529165032,2,0,2,0.00679076384431577,0,FALSE,0.00679076384431577,43,"Pre","C",-4.99219184825771,-4.99218285426281,-16.6111407886174,0.300532210146797,-2.16808137230072,-2.16807746625837,-7.21412678261458,"FALSE"
"144","KI15cFSYM114","594","coral","KI2015c","Platygyra_sp","15","alive","KI2015c.tag594","during","JL","11/12/2015","34.713","31.673","808.882","n","n","n","y","y","n","NONE","n","y","y","y","2","most of coral is bleaching, top portion of coral is severly bleached, some areas still have a bit of colour ~2/3-3/4 bleached","","KI2015c","KI15cFMD114","KIPlaty_plate1_data.txt",27.63695,NA,19.806,0.0061518289963237,NA,0.121198102295373,2,0,2,0.00106096264509367,0,FALSE,0.00106096264509367,114,NA,"C",-6.84857862723335,-6.84852106195302,-16.6111407886174,0.412284812289706,-2.97429990668799,-2.9742749064044,-7.21412678261458,"2"
"145","KI16aFSYM158","594","coral","KI2016a","Platygyra_sp","15","alive","KI2016a.tag594","after","HD","10/6/2016","25.892","22.888","521.106","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","algae growing but mostly bleached; DC edited 3 to NONE","","KI2016a","KI16aFMD158","KIPlaty_plate3_data.txt",24.36,30.01085,18.17435,0.142269884374733,0.0144956890143256,0.258164685811207,2,2,2,0.00331882799790012,0.000330277811745006,FALSE,0.00364910580964513,158,NA,"C",-5.61327312506,-5.70812516823393,-8.01539149675758,0.712145522841024,-2.43781354362938,-2.47900726257706,-3.48104029733606,"FALSE"
"153","KI15cFSYM126","612","coral","KI2015c","Platygyra_sp","15","alive","KI2015c.tag612","during","JL","2/12/2015","24.696","18.39","376.403","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","one small patch <5cm","","KI2015c","KI15cFMD126","KIPlaty_plate11_data.txt",28.01755,NA,19.4227,0.294227131651723,NA,0.236173664916307,2,0,2,0.000624803249578072,0,FALSE,0.000624803249578072,126,NA,"C",-7.37807375846309,-7.3779760102759,-16.6111407886174,0.44415829738386,-3.20425672037571,-3.20421426887739,-7.21412678261458,"FALSE"
"154","KI16aFSYM164","612","coral","KI2016a","Platygyra_sp","15","alive","KI2016a.tag612","after","JM","13-06-2016","21.382","18.293","255.684","n","n","n","y","y","n","NONE","y","y","n","y","2","most of the coral bleached; used 5 point scale","","KI2016a","KI16aFMD164","KIPlaty_plate11_data.txt",36.4474,24.6516,17.204,NA,0.106914545315406,0.402485179851384,1,2,2,0,0.00691942404621881,FALSE,0.00691942404621881,164,NA,"D",-4.97342274313159,-16.6111407886174,-4.97341391637086,3.33998759563103,-2.15993005351419,-7.21412678261458,-2.15992622010071,"2"
"155","KI15aFSYM067","618","coral","KI2015a","Platygyra_sp","15","alive","KI2015a_Pre.tag618","before","DL","22-03-2016","30.028","28.432","598.108","n","n","n","y","y","n","NONE","y","y","y","n","FALSE","","","KI2015a_Pre","KI15aFQ067","KIPlaty_plate7_data.txt",23.92015,NA,17.259,0.0959543902070144,NA,0.552533238819167,2,0,2,0.0023869591258659,0,FALSE,0.0023869591258659,67,"Pre","C",-6.03773505541432,-6.03770946821932,-16.6111407886174,0.363473499204617,-2.62215501776027,-2.62214390538267,-7.21412678261458,"FALSE"
"156","KI15cFSYM129","618","coral","KI2015c","Platygyra_sp","15","alive","KI2015c.tag618","during","JL","3/12/2015","37.719","34.759","921.111","n","n","n","y","y","n","NONE","n","y","y","y","3","entire coral is severely bleached","","KI2015c","KI15cFMD129","KIPlaty_plate2_data.txt",29.55155,NA,18.7604,0.00827314933988342,NA,0.0394565583902078,2,0,2,0.000136329894976771,0,FALSE,0.000136329894976771,129,NA,"C",-8.9004329111269,-8.89998500721808,-16.6111407886174,0.535784093366825,-3.86540889985251,-3.86521437765649,-7.21412678261458,"3"
"157","KI16aFSYM160","618","coral","KI2016a","Platygyra_sp","15","alive","KI2016a.tag618","after","HD","16-09-2016","28.747","27.236","612.9","n","n","n","y","y","n","NONE","y","y","y","y","FALSE","many large bleached patches; DC edited 2 to 1","","KI2016a","KI16aFMD160","KIPlaty_plate11_data.txt",38.694,25.20275,17.86865,NA,0.0596091016540277,0.0572049385979915,1,2,2,0,0.0074857764067141,FALSE,0.0074857764067141,160,NA,"D",-4.89475053813804,-16.6111407886174,-4.89474237918197,3.39367008553238,-2.12576314900632,-7.21412678261458,-2.12575960561673,"FALSE"
"164","KI15bFSYM020","637","coral","KI2015b","Platygyra_sp","35","alive","KI2015b.tag637","before","HD","5/8/2016","10.713","8.647","74.676","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","large area bleached; DC edited 2 to 1","","KI2015b","KI15bFMD020","KIPlaty_plate2_data.txt",27.42325,NA,20.8245,0.254629151905275,NA,0.0408707719525827,2,0,2,0.0024924660642974,0,FALSE,0.0024924660642974,20,NA,"C",-5.99448267134739,-5.9944581672538,-16.6111407886174,0.360869746607736,-2.60337074603083,-2.60336010403821,-7.21412678261458,"FALSE"
"166","KI16aFSYM047","637","coral","KI2016a","Platygyra_sp","35","alive","KI2016a.tag637","after","HD","12/7/2016","10.16","9.188","69.53","n","n","n","y","y","n","NONE","n","y","y","y","2","large area bleach and much starting to bleach; DC edited 3 to 2","","KI2016a","KI16aFMD047","KIPlaty_plate7_data.txt",29.3336,23.86335,18.0018,NA,0.231294628126121,0.0172534054609517,1,2,2,0,0.0207739255621554,FALSE,0.0207739255621554,47,NA,"D",-3.87405665740449,-16.6111407886174,-3.87405371735929,4.28779309749485,-1.68248142889133,-7.21412678261458,-1.68248015204592,"2"
"179","KI15bFSYM205","727","coral","KI2015b","Platygyra_sp","27","gone","KI2015b.tag727","before","JM","25-05-2016","18.879","13.867","195.383","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","several small bleached spots","","KI2015b","KI15bFMD205","KIPlaty_plate2_data.txt",24.46985,NA,18.91895,0.0324562012564623,NA,0.124380082810715,2,0,2,0.00515304025249932,0,FALSE,0.00515304025249932,205,NA,"C",-5.26816839819764,-5.26815654577557,-16.6111407886174,0.317145981291394,-2.28793646507433,-2.28793131763283,-7.21412678261458,"FALSE"
"180","KI15cFSYM083","727","coral","KI2015c","Platygyra_sp","27","gone","KI2015c.tag727","during","NO","18-10-2017","31.989","21.616","521.758","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","half the coral is bleaching; DC edited 2 to 1","","KI2015c","KI15cFMD083","KIPlaty_plate2_data.txt",26.45675,34.8198,20.4814,0.303702362519623,NA,2.77440416666354,2,1,2,0.0038396474788235,0,FALSE,0.0038396474788235,83,NA,"C",-5.56237471898631,-5.56235881234786,-16.6111407886174,0.334857122887032,-2.41570864673391,-2.4157017385686,-7.21412678261458,"FALSE"
"185","KI15cFSYM065","735","coral","KI2015c","Platygyra_sp","27","gone","KI2015c.tag735","during","NO","18-10-2017","13.093","9.281","95.878","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","few small bleached spots","","KI2015c","KI15cFMD065","KIPlaty_plate1_data.txt",34.02835,25.1548,19.2476,4.32233162135901,1.25695301423721,0.350300699399816,2,2,2,8.58226320287161e-06,0.0201268843815096,FALSE,0.0201354666447125,65,NA,"D",-3.90527250914829,-11.6587215251918,-3.90569579163511,2.98505622228988,-1.69603830105157,-5.06331842443746,-1.69622213029988,"FALSE"
"188","KI15bFSYM219","742","coral","KI2015b","Platygyra_sp","32","dead","KI2015b.tag742","before","JM","26-05-2016","10.798","10.382","85.011","n","n","n","y","y","n","NONE","n","y","y","n","FALSE","","","KI2015b","KI15bFMD219","KIPlaty_plate2_data.txt",34.87615,24.98805,18.68995,0.00318198051533958,0.369180450457495,0.428011734652217,2,2,2,3.23980761630427e-06,0.0153498425999268,FALSE,0.0153530824075431,219,NA,"D",-4.17643901679923,-12.6213202507262,-4.17664608012844,3.02187928030954,-1.81380441900135,-5.48136973922415,-1.81389434546263,"FALSE"
"189","KI15cFSYM436","742","coral","KI2015c","Platygyra_sp","32","dead","KI2015c.tag742","during","HD","22-10-2015","19.867","19.87","317.871","n","n","n","y","y","n","NONE","n","y","n","n","FALSE","","","KI2015c","KI15cFMD436","KIPlaty_plate9_data.txt",37.4881,24.4012,17.47385,NA,0.0197989898732224,0.00445477272147492,1,2,2,0,0.00992386394991183,FALSE,0.00992386394991183,436,NA,"D",-4.61281292244528,-16.6111407886174,-4.61280676796933,3.60109183501091,-2.00331919827,-7.21412678261458,-2.00331652541505,"FALSE"
"190","KI15bFSYM231","754_899_1060","coral","KI2015b","Platygyra_sp","32","alive","KI2015b.tag754_899_1060","before","JM","26-05-2016","15.038","14.335","164.541","n","n","n","y","y","n","NONE","y","y","n","y","FALSE","a few blaeched spots around algal patches ","","KI2015b","KI15bFMD231","KIPlaty_plate0_data.txt",NA,23.93345,18.7971,NA,0.00403050865276398,0.391737156777349,0,2,2,0,0.0343419952617696,FALSE,0.0343419952617696,231,NA,"D",-3.37138632206242,-16.6111407886174,-3.37138454358929,4.92709762824404,-1.46417447603581,-7.21412678261458,-1.46417370365474,"FALSE"
"191","KI15cFSYM468","754_899_1060","coral","KI2015c","Platygyra_sp","32","alive","KI2015c.tag754_899_1060","during","JL","12/11/2015","16.384","12.883","178.142","n","n","n","y","y","n","NONE","n","y","n","y","FALSE","a few spots <5cm ","","KI2015c","KI15cFMD468","KIPlaty_plate0_data.txt",NA,23.31015,17.8274,NA,0.00530330085889931,0.13081475451951,0,2,2,0,0.0270115019535851,FALSE,0.0270115019535851,468,NA,"D",-3.61149250540839,-16.6111407886174,-3.6114902442864,4.59952531088718,-1.56845126653381,-7.21412678261458,-1.56845028454101,"FALSE"
"193","KI15bFSYM239","762","coral","KI2015b","Platygyra_sp","32","dead","KI2015b.tag762","before","HD","27-05-2016","10.758","9.336","81.041","n","n","m","y","y","n","NONE","n","y","y","n","FALSE","","","KI2015b","KI15bFMD239","KIPlaty_plate7_data.txt",29.41675,23.8193,17.7015,0.280084996027992,0.318198051533946,0.165180144085177,2,2,2,7.18471062820561e-05,0.0173932057627229,FALSE,0.017465052869005,239,NA,"D",-4.04755337358764,-9.54012049370356,-4.05167211092178,2.35461316526256,-1.75783009535801,-4.14322168710758,-1.75961884025463,"FALSE"
