SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site	Status	Year_Pre_Post
KI15cFSYM254	KI15cFSYM254.fasta	792	coral	2015July	254	Platygyra_sp	5	alive	2015July
KI16aFSYM089	KI16aFSYM089.fasta	792	coral	2016March	89	Platygyra_sp	5	alive	2016March
KI15bFSYM293	KI15bFSYM293.fasta	797	coral	2015May	293	Platygyra_sp	5	alive	2015May
KI15cFSYM261	KI15cFSYM261.fasta	797	coral	2015July	261	Platygyra_sp	5	alive	2015July
KI16aFSYM091	KI16aFSYM091.fasta	797	coral	2016March	91	Platygyra_sp	5	alive	2016March
KI15bFSYM296	KI15bFSYM296.fasta	800	coral	2015May	296	Favites_pentagona	5	gone	2015May
KI15cFSYM265	KI15cFSYM265.fasta	800	coral	2015July	265	Favites_pentagona	5	gone	2015July
KI15bFSYM303	KI15bFSYM303.fasta	807	coral	2015May	303	Platygyra_sp	5	alive	2015May
KI15cFSYM273	KI15cFSYM273.fasta	807	coral	2015July	273	Platygyra_sp	5	alive	2015July
KI16aFSYM104	KI16aFSYM104.fasta	807	coral	2016March	104	Platygyra_sp	5	alive	2016March
KI15bFSYM306	KI15bFSYM306.fasta	810	coral	2015May	306	Favites_pentagona	5	dead	2015May
KI15cFSYM275	KI15cFSYM275.fasta	810	coral	2015July	275	Favites_pentagona	5	dead	2015July
KI15bFSYM309	KI15bFSYM309.fasta	813	coral	2015May	309	Platygyra_sp	5	alive	2015May
KI15cFSYM277	KI15cFSYM277.fasta	813	coral	2015July	277	Platygyra_sp	5	alive	2015July
KI16aFSYM095	KI16aFSYM095.fasta	813	coral	2016March	95	Platygyra_sp	5	alive	2016March
KI15bFSYM316	KI15bFSYM316.fasta	820	coral	2015May	316	Platygyra_sp	5	alive	2015May
KI15cFSYM278	KI15cFSYM278.fasta	820	coral	2015July	278	Platygyra_sp	5	alive	2015July
KI16aFSYM096	KI16aFSYM096.fasta	820	coral	2016March	96	Platygyra_sp	5	alive	2016March
KI15bFSYM320	KI15bFSYM320.fasta	824	coral	2015May	320	Platygyra_sp	5	alive	2015May
KI15cFSYM283	KI15cFSYM283.fasta	824	coral	2015July	283	Platygyra_sp	5	alive	2015July
KI16aFSYM101	KI16aFSYM101.fasta	824	coral	2016March	101	Platygyra_sp	5	alive	2016March
KI15bFSYM340	KI15bFSYM340.fasta	844	coral	2015May	340	Favites_pentagona	34	alive	2015May
KI15cFSYM519	KI15cFSYM519.fasta	844	coral	2015July	519	Favites_pentagona	34	alive	2015July
KI16aFSYM123	KI16aFSYM123.fasta	844	coral	2016March	123	Favites_pentagona	34	alive	2016March
KI15bFSYM346	KI15bFSYM346.fasta	850	coral	2015May	346	Platygyra_sp	34	alive	2015May
KI15cFSYM506	KI15cFSYM506.fasta	850	coral	2015July	506	Platygyra_sp	34	alive	2015July
KI16aFSYM120	KI16aFSYM120.fasta	850	coral	2016March	120	Platygyra_sp	34	alive	2016March
KI15bFSYM352	KI15bFSYM352.fasta	856	coral	2015May	352	Favites_pentagona	34	dead	2015May
KI15cFSYM503	KI15cFSYM503.fasta	856	coral	2015July	503	Favites_pentagona	34	dead	2015July
KI15bFSYM353	KI15bFSYM353.fasta	857	coral	2015May	353	Platygyra_sp	34	alive	2015May
KI15cFSYM504	KI15cFSYM504.fasta	857	coral	2015July	504	Platygyra_sp	34	alive	2015July
