"Field.Season","Site","Quadrat","adj.total.points.quadrat","Cover","Bleached","Substrate","Species","Fish.Level","Field.Season.Cat","adj.total.points.site"
"KI2015b","site8","Q2.2",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q38.8",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q42.2",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q42.5",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q4.3",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q44.8",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q46.5",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q47.1",100,4,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q4.8",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q49.9",99,3,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q50.2",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q54.8",100,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q55.8",97,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q56.4",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q8.8",98,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q54.8",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q55.8",97,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q50.2",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q11.6",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q13.1",97,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q14.4",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q42.5",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q4.3",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q44.8",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q52.1",97,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q56.4",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q58.3",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q7.3",98,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q7.8",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q4.8",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q49.9",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q11.6",99,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q13.1",97,0,"Healthy","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q15.9",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q46.5",99,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
"KI2015b","site8","Q47.1",100,0,"Bleaching","HARD.CORAL","Favites.pentagona","Medium","Before",2969
