"coral_tag","SampleType","Coral_Species","site","Dist","Status","sample_name.KI2014","sample_name.KI2015a","sample_name.KI2015b","sample_name.KI2015c","sample_name.KI2016a","dom.KI2014","dom.KI2015a","dom.KI2015b","dom.KI2015c","dom.KI2016a","have_before","have_duringafter","dom_before","dom_during","dom_after"
"588","coral","Favites_pentagona","15","VeryLow","alive",NA,"KI15aFSYM037","KI15bFSYM084",NA,"KI16aFSYM153",NA,"C","C",NA,"D","Yes","Yes","C","NA","D"
"592","coral","Favites_pentagona","15","VeryLow","alive",NA,"KI15aFSYM041","KI15bFSYM088","KI15cFSYM112","KI16aFSYM155",NA,"C","D","C","D","Yes","Yes","CD","C","D"
"594","coral","Platygyra_sp","15","VeryLow","alive",NA,"KI15aFSYM043",NA,"KI15cFSYM114","KI16aFSYM158",NA,"C",NA,"C","C","Yes","Yes","C","C","C"
"597","coral","Favites_pentagona","15","VeryLow","alive",NA,"KI15aFSYM046",NA,NA,"KI16aFSYM159",NA,"C",NA,NA,"D","Yes","Yes","C","NA","D"
"612","coral","Platygyra_sp","15","VeryLow","alive",NA,"KI15aFSYM052",NA,"KI15cFSYM126","KI16aFSYM164",NA,"C",NA,"C","D","Yes","Yes","C","C","D"
"618","coral","Platygyra_sp","15","VeryLow","alive",NA,"KI15aFSYM067",NA,NA,"KI16aFSYM160",NA,"C",NA,NA,"D","Yes","Yes","C","NA","D"
"631","coral","Favites_pentagona","15","VeryLow","dead",NA,NA,NA,"KI15cFSYM144",NA,NA,NA,NA,"C",NA,NA,"Yes","NA","C","NA"
"637","coral","Platygyra_sp","35","Medium","alive",NA,"KI15aFSYM097","KI15bFSYM020",NA,"KI16aFSYM047",NA,"C","C",NA,"D","Yes","Yes","C","NA","D"
"719","coral","Favites_pentagona","8","Medium","dead",NA,NA,"KI15bFSYM184","KI15cFSYM373",NA,NA,NA,"C","C",NA,"Yes","Yes","C","C","NA"
"729","coral","Favites_pentagona","27","VeryHigh","alive",NA,NA,NA,"KI15cFSYM094","KI16aFSYM066",NA,NA,NA,"D","D",NA,"Yes","NA","D","D"
"742","coral","Platygyra_sp","32","VeryHigh","dead",NA,NA,"KI15bFSYM219","KI15cFSYM436",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
"754","coral","Platygyra_sp","32","VeryHigh","alive",NA,NA,"KI15bFSYM231","KI15cFSYM468",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
"762","coral","Platygyra_sp","32","VeryHigh","dead",NA,NA,"KI15bFSYM239","KI15cFSYM474",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
"766","coral","Platygyra_sp","32","VeryHigh","dead",NA,NA,"KI15bFSYM243","KI15cFSYM472",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
"768","coral","Platygyra_sp","32","VeryHigh","dead",NA,NA,"KI15bFSYM245","KI15cFSYM460",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
"770","coral","Favites_pentagona","32","VeryHigh","alive",NA,NA,"KI15bFSYM247","KI15cFSYM461","KI16aFSYM013",NA,NA,"D","D","D","Yes","Yes","D","D","D"
"772","coral","Favites_pentagona","32","VeryHigh","dead",NA,NA,"KI15bFSYM249","KI15cFSYM448",NA,NA,NA,"D","D",NA,"Yes","Yes","D","D","NA"
"783","coral","Platygyra_sp","34","Medium","alive",NA,NA,"KI15bFSYM279",NA,"KI16aFSYM118",NA,NA,"C",NA,"D","Yes","Yes","C","NA","D"
"786","coral","Favites_pentagona","34","Medium","alive",NA,NA,"KI15bFSYM282","KI15cFSYM502","KI16aFSYM119",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"788","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM284","KI15cFSYM253","KI16aFSYM088",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"792","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM288","KI15cFSYM254",NA,NA,NA,"C","C",NA,"Yes","Yes","C","C","NA"
"797","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM293","KI15cFSYM261","KI16aFSYM091",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"807","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM303","KI15cFSYM273","KI16aFSYM104",NA,NA,"C","C","D","Yes","Yes","C","C","D"
"810","coral","Favites_pentagona","5","VeryLow","dead",NA,NA,"KI15bFSYM306","KI15cFSYM275",NA,NA,NA,"C","C",NA,"Yes","Yes","C","C","NA"
"813","coral","Platygyra_sp","5","VeryLow","alive",NA,NA,"KI15bFSYM309","KI15cFSYM277","KI16aFSYM095",NA,NA,"C","C","D","Yes","Yes","C","C","D"
