#SampleID	InputFileName	CoralTag	SampleType	Year	TubeNumber	Coral_Species	Site
KI15aFSYM032	KI15aFSYM032_MERGED-MAX-MISMATCH-3	583	coral	2015Jan	32	Favites_pentagona	15
KI15aFSYM037	KI15aFSYM037_MERGED-MAX-MISMATCH-3	588	coral	2015Jan	37	Favites_pentagona	15
KI15aFSYM041	KI15aFSYM041_MERGED-MAX-MISMATCH-3	592	coral	2015Jan	41	Favites_pentagona	15
KI15aFSYM043	KI15aFSYM043_MERGED-MAX-MISMATCH-3	594	coral	2015Jan	43	Platygyra_sp	15
KI15aFSYM046	KI15aFSYM046_MERGED-MAX-MISMATCH-3	597	coral	2015Jan	46	Favites_pentagona	15
KI15aFSYM052	KI15aFSYM052_MERGED-MAX-MISMATCH-3	612	coral	2015Jan	52	Platygyra_sp	15
KI15aFSYM057	KI15aFSYM057_MERGED-MAX-MISMATCH-3	605	coral	2015Jan	57	Favites_pentagona	15
KI15aFSYM067	KI15aFSYM067_MERGED-MAX-MISMATCH-3	618	coral	2015Jan	67	Platygyra_sp	15
KI15aFSYM072	KI15aFSYM072_MERGED-MAX-MISMATCH-3	623	coral	2015Jan	72	Favites_pentagona	15
KI15aFSYM077	KI15aFSYM077_MERGED-MAX-MISMATCH-3	628	coral	2015Jan	77	Favites_pentagona	15
KI15aFSYM081	KI15aFSYM081_MERGED-MAX-MISMATCH-3	4	coral	2015Jan	81	Favites_pentagona	35
KI15aFSYM096	KI15aFSYM096_MERGED-MAX-MISMATCH-3	89	coral	2015Jan	96	Favia_matthai	35
KI15aFSYM097	KI15aFSYM097_MERGED-MAX-MISMATCH-3	637	coral	2015Jan	97	Platygyra_sp	35
KI15aFSYM103	KI15aFSYM103_MERGED-MAX-MISMATCH-3	99	coral	2015Jan	103	Platygyra_sp	35
KI15aFSYM105	KI15aFSYM105_MERGED-MAX-MISMATCH-3	100_638	coral	2015Jan	105	Favia_matthai	35
KI15aFSYM113	KI15aFSYM113_MERGED-MAX-MISMATCH-3	253	coral	2015Jan	113	Platygyra_sp	8
KI15aFSYM116	KI15aFSYM116_MERGED-MAX-MISMATCH-3	62	coral	2015Jan	116	Platygyra_sp	8
