"","denovo413","denovo3845","denovo3975","denovo2476","denovo1578","denovo3446","denovo3171","denovo2975","denovo4060","denovo2864","denovo3196","denovo5461","denovo2677","denovo4420","denovo145","denovo1562","denovo144","denovo2921","denovo1573","denovo1358","denovo5728","denovo1825","denovo2251","denovo4520","denovo149","denovo2049","denovo1037","denovo1283","denovo2863","denovo2616","denovo3099","denovo5808","denovo5228","denovo2962","denovo6057","denovo4335","denovo2966","denovo4457","denovo1458","denovo4848","denovo5803","denovo3632","denovo900","denovo4057","denovo6179","denovo3283","denovo5569","denovo2765","denovo4218","denovo4297","denovo3127","denovo3545"
"denovo3196",0.385159010600707,0.402640264026403,0.380645161290323,0.487012987012987,0.582236842105263,0.298013245033113,0.424050632911392,0.456204379562044,0.600746268656716,0.357366771159875,0,0.396610169491525,0.375838926174497,0.392857142857143,0.491467576791809,0.237458193979933,0.436426116838488,0.388888888888889,0.367003367003367,0.620833333333333,0.391585760517799,0.414141414141414,0.362369337979094,0.388513513513513,0.424528301886793,0.444444444444444,0.436708860759494,0.291095890410959,0.453571428571429,0.402027027027027,0.580152671755725,0.385579937304075,0.206081081081081,0.38255033557047,0.533834586466165,0.46583850931677,0.446308724832215,0.395424836601307,0.407284768211921,0.585760517799353,0.357615894039735,0.380645161290323,0.441860465116279,0.397923875432526,0.358552631578947,0.616724738675958,0.548780487804878,0.575657894736842,0.442446043165468,0.427215189873418,0.505454545454545,0.51685393258427
"denovo5461",0.365019011406844,0.359430604982206,0.402826855123675,0.452296819787986,0.530465949820789,0.362989323843416,0.379661016949152,0.472222222222222,0.540983606557377,0.411149825783972,0.396610169491525,0,0.338078291814947,0.381118881118881,0.450184501845019,0.418181818181818,0.353159851301115,0.332167832167832,0.385159010600707,0.60352422907489,0.430604982206406,0.39568345323741,0.332075471698113,0.36,0.376344086021505,0.381118881118881,0.368231046931408,0.423791821561338,0.385767790262172,0.368231046931408,0.568,0.382252559726962,0.396153846153846,0.372759856630824,0.545816733067729,0.404761904761905,0.365591397849462,0.369337979094077,0.446428571428571,0.532608695652174,0.403508771929824,0.347014925373134,0.385159010600707,0.415094339622642,0.347517730496454,0.570342205323194,0.550660792951542,0.526881720430107,0.427450980392157,0.395904436860068,0.49609375,0.472803347280335
"denovo2677",0.352727272727273,0.324137931034483,0.370242214532872,0.392982456140351,0.507142857142857,0.390845070422535,0.253333333333333,0.392156862745098,0.592307692307692,0.381118881118881,0.375838926174497,0.338078291814947,0,0.23469387755102,0.444043321299639,0.377224199288256,0.26978417266187,0.187713310580205,0.362068965517241,0.541666666666667,0.440559440559441,0.34965034965035,0.232974910394265,0.287234042553192,0.315602836879433,0.351535836177474,0.323741007194245,0.389891696750903,0.388059701492537,0.346289752650177,0.549407114624506,0.324324324324324,0.366300366300366,0.288194444444444,0.511627906976744,0.411960132890365,0.321554770318021,0.193220338983051,0.395604395604396,0.496402877697842,0.354948805460751,0.346863468634686,0.348275862068965,0.352941176470588,0.158620689655172,0.561338289962825,0.536885245901639,0.489285714285714,0.430769230769231,0.322147651006711,0.49618320610687,0.473251028806584
"denovo4420",0.380434782608696,0.313333333333333,0.380794701986755,0.426621160409556,0.527972027972028,0.412162162162162,0.241157556270096,0.424242424242424,0.559386973180077,0.433447098976109,0.392857142857143,0.381118881118881,0.23469387755102,0,0.454545454545454,0.424137931034483,0.289655172413793,0.258278145695364,0.343537414965986,0.551867219917012,0.447811447811448,0.36986301369863,0.274305555555556,0.338983050847458,0.348275862068965,0.387959866220736,0.362068965517241,0.418439716312057,0.447272727272727,0.370748299319728,0.557251908396947,0.318181818181818,0.399267399267399,0.325423728813559,0.524344569288389,0.382352941176471,0.372013651877133,0.207792207792208,0.411347517730496,0.526501766784452,0.337792642140468,0.371428571428571,0.372881355932203,0.381625441696113,0.217391304347826,0.575,0.528925619834711,0.534965034965035,0.414545454545454,0.381107491856678,0.494464944649447,0.48582995951417
"denovo145",0.467625899280576,0.45,0.473684210526316,0.486111111111111,0.553571428571429,0.473309608540925,0.462328767123288,0.496153846153846,0.546938775510204,0.436823104693141,0.491467576791809,0.450184501845019,0.444043321299639,0.454545454545454,0,0.426056338028169,0.457564575645757,0.439716312056738,0.450354609929078,0.620087336244542,0.439024390243902,0.442028985507246,0.438661710037175,0.402173913043478,0.444043321299639,0.456140350877193,0.450909090909091,0.42756183745583,0.473880597014925,0.456521739130435,0.591836734693878,0.450511945392491,0.445692883895131,0.451263537906137,0.51394422310757,0.469387755102041,0.482269503546099,0.450704225352113,0.468864468864469,0.541516245487365,0.468531468531469,0.431654676258993,0.455516014234875,0.447761194029851,0.460431654676259,0.648854961832061,0.552301255230126,0.564285714285714,0.494339622641509,0.45578231292517,0.538167938931298,0.491869918699187
"denovo1562",0.379432624113475,0.41156462585034,0.383050847457627,0.451388888888889,0.532646048109966,0.235915492957746,0.403973509933775,0.467680608365019,0.55,0.292253521126761,0.237458193979933,0.418181818181818,0.377224199288256,0.424137931034483,0.426056338028169,0,0.419354838709677,0.397260273972603,0.367132867132867,0.584070796460177,0.36271186440678,0.383802816901408,0.376306620209059,0.362007168458781,0.412371134020619,0.441471571906354,0.41522491349481,0.243150684931507,0.434306569343066,0.388489208633093,0.577689243027888,0.393220338983051,0.106164383561644,0.402097902097902,0.537549407114625,0.417218543046358,0.433691756272401,0.394463667820069,0.344202898550725,0.517361111111111,0.362068965517241,0.394463667820069,0.40625,0.389090909090909,0.387543252595156,0.597122302158273,0.526530612244898,0.512027491408935,0.466911764705882,0.432885906040268,0.534798534798535,0.523622047244094
"denovo144",0.374074074074074,0.357638888888889,0.397923875432526,0.4,0.518382352941177,0.431034482758621,0.27891156462585,0.453488372093023,0.555133079847909,0.391304347826087,0.436426116838488,0.353159851301115,0.26978417266187,0.289655172413793,0.457564575645757,0.419354838709677,0,0.268965517241379,0.392982456140351,0.52991452991453,0.475862068965517,0.407142857142857,0.15,0.36551724137931,0.344202898550725,0.375886524822695,0.355311355311355,0.406015037593985,0.418250950570342,0.360424028268551,0.547619047619048,0.332191780821918,0.384030418250951,0.354385964912281,0.51937984496124,0.402061855670103,0.369337979094077,0.283276450511945,0.434456928838951,0.535315985130112,0.397212543554007,0.399280575539568,0.415492957746479,0.407017543859649,0.243055555555556,0.619217081850534,0.526748971193416,0.514705882352941,0.421052631578947,0.336769759450172,0.490566037735849,0.508264462809917
"denovo2921",0.333333333333333,0.345514950166113,0.382059800664452,0.409556313993174,0.512110726643599,0.393103448275862,0.249190938511327,0.39922480620155,0.546153846153846,0.394557823129252,0.388888888888889,0.332167832167832,0.187713310580205,0.258278145695364,0.439716312056738,0.397260273972603,0.268965517241379,0,0.367003367003367,0.55982905982906,0.473154362416107,0.366101694915254,0.232394366197183,0.305841924398626,0.325342465753425,0.348993288590604,0.349480968858132,0.432142857142857,0.384892086330935,0.358885017421603,0.513725490196078,0.325657894736842,0.368231046931408,0.331081081081081,0.503846153846154,0.398026315789474,0.355400696864111,0.248344370860927,0.409252669039146,0.503496503496504,0.361204013377926,0.330985915492958,0.375838926174497,0.356890459363958,0.161716171617162,0.598566308243728,0.528925619834711,0.477508650519031,0.392592592592593,0.338815789473684,0.50188679245283,0.478260869565217
"denovo1573",0.358156028368794,0.368600682593857,0.400673400673401,0.43859649122807,0.552816901408451,0.359861591695502,0.356902356902357,0.455598455598456,0.56420233463035,0.393728222996516,0.367003367003367,0.385159010600707,0.362068965517241,0.343537414965986,0.450354609929078,0.367132867132867,0.392982456140351,0.367003367003367,0,0.605932203389831,0.41156462585034,0.253424657534247,0.358695652173913,0.37979094076655,0.348591549295775,0.36551724137931,0.346428571428571,0.359712230215827,0.41726618705036,0.381118881118881,0.55859375,0.353741496598639,0.32962962962963,0.351351351351351,0.534090909090909,0.38,0.384615384615385,0.342372881355932,0.437956204379562,0.558718861209964,0.0819672131147541,0.352517985611511,0.256756756756757,0.353571428571429,0.332191780821918,0.58695652173913,0.545081967213115,0.549295774647887,0.40377358490566,0.375838926174497,0.505660377358491,0.492
"denovo1358",0.591111111111111,0.568376068376068,0.576923076923077,0.583333333333333,0.641255605381166,0.594142259414226,0.55421686746988,0.666666666666667,0.628,0.579646017699115,0.620833333333333,0.60352422907489,0.541666666666667,0.551867219917012,0.620087336244542,0.584070796460177,0.52991452991453,0.55982905982906,0.605932203389831,0,0.591304347826087,0.578059071729958,0.563559322033898,0.549356223175966,0.5375,0.5625,0.539748953974895,0.557017543859649,0.578703703703704,0.586776859504132,0.628318584070797,0.576763485477178,0.572727272727273,0.557446808510638,0.645833333333333,0.625498007968127,0.602362204724409,0.55327868852459,0.561643835616438,0.645454545454546,0.598326359832636,0.547169811320755,0.579831932773109,0.606060606060606,0.523404255319149,0.683544303797468,0.626126126126126,0.612612612612613,0.618834080717489,0.573221757322176,0.675799086757991,0.641304347826087
