Coral_Species,Coral_Tag,Site,Disturbance_Level,ProposedSurvival_Status,Survival_Status_conservative,Survival_Status_liberal,ord_sample,Notes
P. ryukyuensis,455,27,VeryHigh,unknown,unknown,unknown,KI14FSYM455,2015a more recent but < 1000 reads
P. ryukyuensis,461,27,VeryHigh,unknown,unknown,unknown,KI14FSYM461,
P. ryukyuensis,466,27,VeryHigh,dead,dead,dead,KI15bFSYM140,
P. ryukyuensis,470,27,VeryHigh,dead,unknown,dead,KI15bFSYM138,
F. pentagona,473,27,VeryHigh,unknown,unknown,unknown,KI14FSYM473,
P. ryukyuensis,479,32,VeryHigh,unknown,unknown,unknown,KI14FSYM479,
F. pentagona,487,32,VeryHigh,dead,unknown,dead,KI15bFSYM187,
F. pentagona,492,32,VeryHigh,dead,dead,dead,KI15bFSYM191,
F. pentagona,500,32,VeryHigh,alive,alive,alive,KI14FSYM321,
P. ryukyuensis,504,14,Medium,dead,unknown,dead,KI14FSYM504,
F. pentagona,583,15,VeryLow,alive,alive,alive,KI15aFSYM032,
F. pentagona,588,15,VeryLow,alive,alive,alive,KI15bFSYM084,
F. pentagona,592,15,VeryLow,alive,alive,alive,KI15bFSYM088,
P. ryukyuensis,594,15,VeryLow,alive,alive,alive,KI15aFSYM043,
F. pentagona,597,15,VeryLow,alive,alive,alive,KI15aFSYM046,
F. pentagona,605,15,VeryLow,alive,alive,alive,KI15aFSYM057,
P. ryukyuensis,618,15,VeryLow,alive,alive,alive,KI15aFSYM067,
F. pentagona,623,15,VeryLow,alive,alive,alive,KI15aFSYM072,
F. pentagona,628,15,VeryLow,alive,alive,alive,KI15aFSYM077,
P. ryukyuensis,637,35,Medium,alive,alive,alive,KI15bFSYM020,
F. pentagona,685,27,VeryHigh,unknown,unknown,unknown,KI15bFSYM147,
F. pentagona,719,8,Medium,dead,dead,dead,KI15bFSYM184,
F. pentagona,722,27,VeryHigh,dead,unknown,dead,KI15bFSYM200,
F. pentagona,726,27,VeryHigh,dead,unknown,dead,KI15bFSYM204,
P. ryukyuensis,727,27,VeryHigh,dead,unknown,dead,KI15bFSYM205,
P. ryukyuensis,735,27,VeryHigh,dead,unknown,dead,KI15bFSYM213,
F. pentagona,736,27,VeryHigh,dead,unknown,dead,KI15bFSYM214,
P. ryukyuensis,742,32,VeryHigh,dead,dead,dead,KI15bFSYM219,
P. ryukyuensis,762,32,VeryHigh,dead,dead,dead,KI15bFSYM239,
P. ryukyuensis,766,32,VeryHigh,dead,dead,dead,KI15bFSYM243,
P. ryukyuensis,768,32,VeryHigh,dead,dead,dead,KI15bFSYM245,
F. pentagona,770,32,VeryHigh,alive,alive,alive,KI15bFSYM247,
F. pentagona,772,32,VeryHigh,dead,dead,dead,KI15bFSYM249,
F. pentagona,781,34,Medium,alive,alive,alive,KI15bFSYM277,
P. ryukyuensis,783,34,Medium,alive,alive,alive,KI15bFSYM279,
F. pentagona,786,34,Medium,alive,alive,alive,KI15bFSYM282,
P. ryukyuensis,788,5,VeryLow,alive,alive,alive,KI15bFSYM284,
P. ryukyuensis,792,5,VeryLow,alive,alive,alive,KI15bFSYM288,
P. ryukyuensis,797,5,VeryLow,alive,alive,alive,KI15bFSYM293,
F. pentagona,800,5,VeryLow,dead,unknown,dead,KI15bFSYM296,
P. ryukyuensis,807,5,VeryLow,alive,alive,alive,KI15bFSYM303,
F. pentagona,810,5,VeryLow,dead,dead,dead,KI15bFSYM306,
P. ryukyuensis,813,5,VeryLow,alive,alive,alive,KI15bFSYM309,
P. ryukyuensis,820,5,VeryLow,alive,alive,alive,KI15bFSYM316,
