* Block Type = 96well
* Chemistry = TAQMAN
* Experiment File Name = F:\KIPlaty\KIPlaty_copynumber_20180122.eds
* Experiment Run End Time = 2018-01-22 13:00:18 PM EST
* Instrument Type = steponeplus
* Passive Reference = ROX

[Results]
Well	Sample Name	Target Name	Task	Reporter	Quencher	Cт	Cт Mean	Cт SD	Quantity	Quantity Mean	Quantity SD	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Comments	HIGHSD
F9	D2	D	STANDARD	FAM	NFQ-MGB	25.8325	25.5059	0.4619	4000			false	0.02	true	3	24		N
F10	5.3	C	UNKNOWN	VIC	NFQ-MGB	32.5408	32.5998	0.0834	963.6775	930.0007	47.6261	false	0.02	true	3	31		N
F11	5.3	C	UNKNOWN	VIC	NFQ-MGB	32.6588	32.5998	0.0834	896.324	930.0007	47.6261	false	0.02	true	3	31		N
F12	7.3	D	UNKNOWN	FAM	NFQ-MGB	28.2736	28.5898	0.4472	863.2708	716.8048	207.1341	false	0.02	true	3	26		N
G1																		N
G2	1.1	D	UNKNOWN	FAM	NFQ-MGB	26.4087	26.6299	0.3129	2930.8484	2561.9331	521.7249	false	0.02	true	3	24		N
G3	1.2	D	UNKNOWN	FAM	NFQ-MGB	28.8114	28.8295	0.0256	606.8356	599.715	10.0702	false	0.02	true	3	27		N
G4	1.3	D	UNKNOWN	FAM	NFQ-MGB	26.838	26.8348	0.0045	2212.0134	2216.5884	6.4698	false	0.02	true	3	25		N
G5	2.1	D	UNKNOWN	FAM	NFQ-MGB	28.287	28.3609	0.1045	855.7346	816.2294	55.8687	false	0.02	true	3	26		N
G6	2.2	D	UNKNOWN	FAM	NFQ-MGB	26.9982	27.0631	0.0919	1991.5663	1910.2722	114.9671	false	0.02	true	3	25		N
G7	2.3	D	UNKNOWN	FAM	NFQ-MGB	26.8238	27.1132	0.4092	2232.6211	1880.2612	498.3122	false	0.02	true	3	25		N
G8	3.1	C	UNKNOWN	VIC	NFQ-MGB	31.7707	32.1169	0.4897	1546.693	1278.7197	378.9715	false	0.02	true	3	30		N
G9	3.2	C	UNKNOWN	VIC	NFQ-MGB	31.2011	31.4922	0.4117	2194.6157	1864.6925	466.5819	false	0.02	true	3	29		N
G10	3.3	C	UNKNOWN	VIC	NFQ-MGB	31.498	31.7616	0.3728	1828.7095	1575.7297	357.7673	false	0.02	true	3	29		N
G11																		N
G12	7.3	D	UNKNOWN	FAM	NFQ-MGB	28.9061	28.5898	0.4472	570.3389	716.8048	207.1341	false	0.02	true	3	27		N
H1																		N
H2	1.1	D	UNKNOWN	FAM	NFQ-MGB	26.8512	26.6299	0.3129	2193.0181	2561.9331	521.7249	false	0.02	true	3	25		N
H3	1.2	D	UNKNOWN	FAM	NFQ-MGB	28.8476	28.8295	0.0256	592.5942	599.715	10.0702	false	0.02	true	3	27		N
H4	1.3	D	UNKNOWN	FAM	NFQ-MGB	26.8317	26.8348	0.0045	2221.1631	2216.5884	6.4698	false	0.02	true	3	25		N
H5	2.1	D	UNKNOWN	FAM	NFQ-MGB	28.4348	28.3609	0.1045	776.7242	816.2294	55.8687	false	0.02	true	3	27		N
H6	2.2	D	UNKNOWN	FAM	NFQ-MGB	27.1281	27.0631	0.0919	1828.9783	1910.2722	114.9671	false	0.02	true	3	25		N
H7	2.3	D	UNKNOWN	FAM	NFQ-MGB	27.4025	27.1132	0.4092	1527.9012	1880.2612	498.3122	false	0.02	true	3	25		N
H8	3.1	C	UNKNOWN	VIC	NFQ-MGB	32.4632	32.1169	0.4897	1010.7464	1278.7197	378.9715	false	0.02	true	3	30		N
H9	3.2	C	UNKNOWN	VIC	NFQ-MGB	31.7833	31.4922	0.4117	1534.7693	1864.6925	466.5819	false	0.02	true	3	30		N
H10	3.3	C	UNKNOWN	VIC	NFQ-MGB	32.0253	31.7616	0.3728	1322.7501	1575.7297	357.7673	false	0.02	true	3	30		N
H11																		N
H12																		N
