Coral Tag # ,Coral Tag # All,Sample Type,Year,Tube Label,Coral Species,Site,Run
231,231,coral,2017,KI17FSYM147,Favites pentagona,3,Run_4
232,232,coral,2014,KI14FSYM232,Hydnophora microconos,3,Run_5
232,232,coral,2015 July,KI15cFSYM179,Hydnophora microconos,3,Run_6
234,234,coral,2014,KI14FSYM234,Platygyra sp,3,Run_1
234,234,coral,2015 July,KI15cFSYM180,Platygyra sp,3,Run_1
237,237,coral,2014,KI14FSYM237,Hydnophora microconos,3,Run_5
240,240,coral,2014,KI14FSYM240,Hydnophora microconos,3,Run_5
240,240,coral,2015 July,KI15cFSYM182,Hydnophora microconos,3,Run_6
242,242,coral,2014,KI14FSYM242,Platygyra sp,8,Run_1
243,243,coral,2014,KI14FSYM243,Favia matthaii,8,Run_5
244,244,coral,2014,KI14FSYM244,Hydnophora microconos,8,Run_5
245,245,coral,2014,KI14FSYM245,Favites pentagona,8,Run_1
247,247,coral,2014,KI14FSYM247,Hydnophora microconos,8,Run_5
248,248,coral,2014,KI14FSYM248,Platygyra sp,8,Run_1
249,249,coral,2014,KI14FSYM249,Favites pentagona,8,Run_1
249,249,coral,2015 May,KI15bFSYM178,Favites pentagona,8,Run_3
253,253,coral,2014,KI14FSYM253,Platygyra sp,8,Run_1
253,253,coral,2015 Jan,KI15aFSYM113,Platygyra sp,8,Run_1
253,253,coral,2015 May,KI15bFSYM164,Platygyra sp,8,Run_1
253,253,coral,2015 July,KI15cFSYM365,Platygyra sp,8,Run_1
255,255,coral,2014,KI14FSYM255,Hydnophora microconos,8,Run_5
258,258,coral,2014,KI14FSYM258,Platygyra sp,27,Run_1
260,260,coral,2014,KI14FSYM260,Favia matthaii,27,Run_5
263,263,coral,2014,KI14FSYM263,Hydnophora microconos,27,Run_5
266,266,coral,2014,KI14FSYM266,Platygyra sp,27,Run_1
267,267,coral,2014,KI14FSYM267,Hydnophora microconos,27,Run_5
268,268,coral,2014,KI14FSYM268,Favia matthaii,27,Run_5
271,271,coral,2014,KI14FSYM271,Favites pentagona,27,Run_1
271,271,coral,2015 Jan,KI15aFSYM163,Favites pentagona,27,Run_1
271,271,coral,2015 May,KI15bFSYM197,Favites pentagona,27,Run_1
271,271,coral,2015 July,KI15cFSYM090,Favites pentagona,27,Run_1
272,272,coral,2014,KI14FSYM272,Favia matthaii,27,Run_5
273,273,coral,2014,KI14FSYM273,Favites pentagona,14,Run_1
274,274,coral,2014,KI14FSYM274,Hydnophora microconos,14,Run_5
278,278,coral,2014,KI14FSYM278,Platygyra sp,14,Run_1
281,281,coral,2014,KI14FSYM281,Hydnophora microconos,14,Run_5
284,284,coral,2014,KI14FSYM284,Favia matthaii,14,Run_5
285,285,coral,2014,KI14FSYM285,Favites pentagona,14,Run_1
285,285,coral,2016 March,KI16aFSYM107,Favites pentagona,14,Run_1
289,289,coral,2014,KI14FSYM289,Platygyra sp,14,Run_1
289,289,coral,2016 March,KI16aFSYM108,Platygyra sp,14,Run_1
290,290,coral,2014,KI14FSYM290,Favites halicora,14,Run_6
292,292,coral,2014,KI14FSYM292,Hydnophora microconos,14,Run_5
297,297,coral,2014,KI14FSYM297,Favia sp,14,Run_5
298,298,coral,2014,KI14FSYM298,Favites pentagona,14,Run_1
299,299,coral,2014,KI14FSYM299,Platygyra sp,14,Run_1
302,302,coral,2014,KI14FSYM302,Favites halicora,14,Run_6
306,306,coral,2014,KI14FSYM306,Platygyra sp,14,Run_1
308,308,coral,2014,KI14FSYM308,Hydnophora microconos,14,Run_5
311,311,coral,2014,KI14FSYM311,Platygyra sp,34,Run_1
314,314_1088,coral,2016 Nov,KI16bFSYM178,Platygyra sp,34,Run_3
315,315,coral,2014,KI14FSYM315,Hydnophora microconos,34,Run_5
320,320,coral,2014,KI14FSYM320,Hydnophora microconos,34,Run_5
323,323,coral,2014,KI14FSYM323,Hydnophora microconos,34,Run_5
323,323,coral,2015 May,KI15bFSYM252,Hydnophora microconos,34,Run_2
323,323,coral,2015 July,KI15cFSYM486,Hydnophora microconos,34,Run_6
328,328,coral,2014,KI14FSYM328,Platygyra sp,34,Run_1
328,328,coral,2015 May,KI15bFSYM255,Platygyra sp,34,Run_1
328,328,coral,2015 July,KI15cFSYM488,Platygyra sp,34,Run_1
328,328,coral,2016 March,KI16aFSYM116,Platygyra sp,34,Run_1
328,328,coral,2016 Nov,KI16bFSYM180,Platygyra sp,34,Run_3
