"","Coral_Tag","Coral_Tag_All","SampleType","Coral_Species","Site","Tube_label.2014","Tube_label.2015Jan","Tube_label.2015May","Tube_label.2015July","Tube_label.2016March","Tube_label.2016Nov","Tube_label.2017","status","before","during","after","recovery"
"188","253","253","coral","Platygyra sp",8,"KI14FSYM253","KI15aFSYM113","KI15bFSYM164","KI15cFSYM365",NA,NA,NA,"gone_after","Yes","Yes","No","No"
"192","255","255","coral","Hydnophora microconos",8,"KI14FSYM255",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"193","258","258","coral","Platygyra sp",27,"KI14FSYM258",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"194","260","260","coral","Favia matthaii",27,"KI14FSYM260",NA,NA,NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"195","263","263","coral","Hydnophora microconos",27,"KI14FSYM263",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"196","266","266","coral","Platygyra sp",27,"KI14FSYM266",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"197","267","267","coral","Hydnophora microconos",27,"KI14FSYM267",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"198","268","268","coral","Favia matthaii",27,"KI14FSYM268",NA,NA,NA,NA,NA,NA,"UK","Yes","No","No","No"
"199","271","271","coral","Favites pentagona",27,"KI14FSYM271","KI15aFSYM163","KI15bFSYM197","KI15cFSYM090",NA,NA,NA,"dead","Yes","Yes","No","No"
"203","272","272","coral","Favia matthaii",27,"KI14FSYM272",NA,NA,NA,NA,NA,NA,"gone_after","Yes","No","No","No"
"204","273","273","coral","Favites pentagona",14,"KI14FSYM273",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"205","274","274","coral","Hydnophora microconos",14,"KI14FSYM274",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"206","278","278","coral","Platygyra sp",14,"KI14FSYM278",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"207","281","281","coral","Hydnophora microconos",14,"KI14FSYM281",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"208","284","284","coral","Favia matthaii",14,"KI14FSYM284",NA,NA,NA,NA,NA,NA,"dead","Yes","No","No","No"
"209","285","285","coral","Favites pentagona",14,"KI14FSYM285",NA,NA,NA,"KI16aFSYM107",NA,NA,"alive","Yes","No","Yes","No"
"211","289","289","coral","Platygyra sp",14,"KI14FSYM289",NA,NA,NA,"KI16aFSYM108",NA,NA,"alive","Yes","No","Yes","No"
"213","290","290","coral","Favites halicora",14,"KI14FSYM290",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"214","292","292","coral","Hydnophora microconos",14,"KI14FSYM292",NA,NA,NA,NA,NA,NA,"gone_UK","Yes","No","No","No"
"215","297","297","coral","Favia sp",14,"KI14FSYM297",NA,NA,NA,NA,NA,NA,"dead","Yes","No","No","No"
"216","298","298","coral","Favites pentagona",14,"KI14FSYM298",NA,NA,NA,NA,NA,NA,"dead","Yes","No","No","No"
